country,round,Column1,survey_date,Column2,Column3,enum_sex,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,site_id,site_name,Column28,Column29,site_open,site_date_open,site_date_close,site_location,site_zone,site_district,site_municipality,Column30,site_latitude,site_longitude,Column31,Column32,site_class,site_type,Column33,Column34,site_date_close_exp,Column35,Column36,site_access,Column37,site_owner,site_shelter,Column38,smc_exist,smc_per_female,site_community,Column39,Column40,sma_exist,sma_type,Column41,sma_name,Column42,Column43,regist_activity,origin_zone,origin_district,origin_municipality,Column44,Column45,Column46,Column47,Column48,n_family,n_total,n_infants_male,n_child_male,n_youth_male,n_adult_male,n_elder_male,n_male,n_infants_female,n_infants,n_child_female,n_child,n_youth_female,n_youth,n_adult_female,n_adult,n_elder_female,n_elder,n_female,n_pregnant,n_pregnant_adult,n_pregnant_youth,n_lactating,n_pwd,n_child_sep,n_hoh_female,n_hoh_child,n_hoh_elder,n_min_ethnic,n_chronic_ill,site_dist_origin,site_idp_last,prev_displaced,return_area,Column49,return_prevent,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,per_sleep_site,Column65,Column66,Column67,Column68,prev_own,per_hh_outside,per_hh_indoors,per_hh_tents,Column69,per_hh_makeshift,Column70,Column71,per_hh_eletricity,per_hh_safecook,nfi_a,Column72,nfi_b,Column73,nfi_c,Column74,water_location,Column75,water_source_np,Column76,water_source_p,Column77,Column78,water_treated,Column79,water_cons,water_remark,Column80,latrine_cond,n_latrine,latrine_gender,n_latrine_male,n_latrine_female,Column81,n_latrine_disable,Column82,latrine_install,Column83,latrine_site,latrine_time,Column84,bathing_gender,latrine_light,latrine_lock,hyg_station,Column85,hyg_evidence,Column86,hyg_waste,Column87,hyg_open_def,food_access,food_market,Column88,food_source,Column89,Column90,food_fuel,Column91,Column92,Column93,food_sup_lac,food_sup_child,health_issue,Column94,health_issue_b,Column95,health_issue_c,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,health_psych,health_psych_rem,health_antenat,Column110,Column111,health_center_dist,Column112,health_provider,Column113,Column114,edu_access,edu_access_f,edu_access_i,edu_distance,Column115,Column116,Column117,per_sch_female,per_sch_male,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,job_main,job_main_other,n_hh_income,job_access,Column134,job_cattle_site,job_offer,job_offer_how,Column135,job_offer_to,job_abr,Column136,job_abr_in,job_abr_family,job_recruit,Column137,food_land,Column138,Column139,Column140,Column141,sec_provided,sec_reported,sec_provider,Column142,sec_issue,Column143,Column144,Column145,Column146,Column147,Column148,n_space_child,n_space_female,Column149,gbv_report,sec_mens_seg,Column150,sec_min_discriminate,safe_male,site_unsafe_male,Column151,safe_child,site_unsafe_child,Column152,safe_female,site_unsafe_female,Column153,site_lighting,hyg_f_product,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176,Column177,info_src_female,Column178,info_src_male,Column179,info_complaint,Column180,Column181,Column182,info_main,Column183,info_free,Column184,Column185,Column186,Column187,Column188,Column189,Column190,Column191,Column192,Column193,Column194,Column195,Column196
Nepal,8,,28/07/16,,,Female,,Male,V.precident,,,,,Female,IDP,,,,,Male,IDP,,,,,Female,IDP,,,,521,Sikre,Existed in R7,,Open,25/05/2015,,Rural,Bagmati,Sindhupalchok,Attapur,8,27.68249,85.89162,2021.458181,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Unknown,,Yes,Yes,Public/Government,Temporary Shelter (CGIs),,Yes,< 50%,Yes,,,No,,,,,,Yes,Bagmati,Sindhupalchok,Attarpur,8,,,,,143,518,5,13,41,187,2,248,4,9,11,24,49,90,186,373,20,22,270,2,2,0,20,2,0,5,0,5,495,2,<30 mins,25-May-15,No,None (Stay here),,Fear of landslide/aftershock,,No,,,No,No,No,No,No,No,No,No,,,,< 75%,No,Other,None,No,< 75%,None,None,None,> 75%,None,None,,< 75%,< 75%,Cooking Gas,,CGIs,,None,,On-site (<20 minutes),Yes,Piped water supply,,Piped water supply,,,No treatment,,>15 liters,Suspended solids,,Good (Hygienic),100,No,0,0,0,0,0,Provided,Clean Energy,On-site,Both times,Yes,No,No,Yes,5,Yes,Yes,Yes,Garbage pit,,No,"Yes, offsite",Yes,< 1 hour,Own/Cultivated,,,Yes,Collect personally,,No,No,No,Cough,,Diarrhea,,None,,Mosquito net,,0,0,0,0,0,0,0,,,Yes,No,No,,Yes,,,Off-site (1-2 hours),,Government,,No,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,95,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Store/small business,,No,No,,,Theft,,None,,Yes,Yes,,0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,No,Washing areas,,No lighting,No,Yes,,,< 75%,> 75%,> 75%,> 75%,> 75%,> 75%,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,,Radio / News,,Radio / News,,Unknown,,Yes,Less than 1 month,Distribution,,Yes,,1500 - 2500,10700%,0%,0%,100%,0,0,0,143,0,107,107
Nepal,8,,31/07/16,,,Female,,Male,IDP,,,,,Male,IDP,,,,,,,,,,,,,,,,530,Bhimtar,Existed in R7,,Open,25/04/2015,,Rural,Bagmati,Sindhupalchok,Sangachok,9,27.68951,85.68343,726.6520361,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,"No,  no vehicular access",Yes,Private,Makeshift/tarpaulin shelter,,Yes,< 50%,Yes,,,No,,,,,,Yes,Bagmati,Sindhupalchok,Sanga chok,9,,,,,152,721,6,35,126,185,23,375,4,10,28,63,101,227,192,377,21,44,346,5,5,0,20,3,0,6,0,11,721,2,<10 mins,25-Apr-15,No,Place of origin,,House damaged/destroyed   ,,No,,,No,No,No,No,No,No,No,No,,,,> 75%,No,Other,Private,No,< 75%,None,None,None,< 50%,< 50%,None,,< 75%,< 75%,CGIs,,None,,None,,Off-site (>20 minutes),No,Spring/river,,Spring/river,,,No treatment,,>15 liters,Suspended solids,,Not so good (not hygienic),60,No,0,0,0,0,0,Built by displaced communities,,On-site,Both times,Yes,No,No,Yes,7,Yes,No,No,Garbage pit,,No,"Yes, offsite",No,1-2 hours,Own/Cultivated,,,Yes,Collect personally,,No,No,No,Diarrhea,,None,,None,,Mosquito net,,2,0,3,3,0,0,0,,,No,No,No,,Yes,,,Off-site (>2 hours),,Government,,Yes,Yes,Yes,No,Off-site (>20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,60,Yes,Lower,Yes,No,,,,No,,,No,No,,Yes,Weaving/knitting,,Store/small business,,No,No,,,None,,None,,Yes,No,,0,0,Yes,No,No,,No,Yes,,,Yes,,,Yes,,,No lighting,No,"No,  no vehicular access",Muddy path to the site,,< 25%,< 75%,< 75%,< 75%,< 75%,< 75%,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,,Radio / News,,Radio / News,,Unknown,,Yes,Don't know,Distribution,,Yes,,<1500,11400%,0%,0%,50%,1,0,0,76,76,114,114
Nepal,8,,28/07/16,,,Male,,Male,,,,All,,Female,,,,All,,,,,,,,,,,,,534,Ghansu,Existed in R7,,Open,30/04/2015,,Rural,Gandaki,Gorkha,Kerauja,1,28.23357,84.9049,2124.17703,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,"No,  no vehicular access",No,Private,Temporary Shelter (CGIs),,No,,,,,No,,,,,,No,Gandaki,Gorkha,Kerauja,4,,,,,140,665,14,57,84,147,37,339,14,28,28,85,84,168,167,314,33,70,326,3,3,0,32,5,0,16,0,25,665,0,<30 mins,20-Jun-15,Yes,Other place in the country,,Fear of landslide/aftershock,,Yes,2,Yes,No,No,Yes,No,No,No,No,No,,Resume livelihood at the place of origin/habitual residence,,> 75%,No,Other,No idea,Yes,> 75%,None,None,None,> 75%,< 25%,None,,> 75%,> 75%,Cooking Gas,,Kitchen sets,,CGIs,,On-site (>20 minutes),No,Piped water supply,,Piped water supply,,,Filtered,,10-15 liters,Suspended solids,,Not so good (not hygienic),22,No,0,0,0,0,3,Provided,Oxfam,On-site,Day time,No,Yes,Yes,Yes,8,Yes,Yes,Yes,Burning,,No,No,No,> 10 hours ,Own Cash,,,Yes,Collect personally,,No,No,No,Cold,,None,,None,,None,,0,7,0,7,0,0,0,,,Yes,No,No,,Yes,,,On-site,Government,Government,,No,Yes,Yes,No,On-site (<20 minutes),Government,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,5,No,Lower,Yes,No,,,,No,,,No,Unknown,,Yes,Construction/daily labour,,Construction/daily labour,,Yes,No,Self organized,,None,,None,,No,Unknown,Medicines shortages,0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",No,"No,  no vehicular access",No roads up to camp site,,> 75%,< 50%,< 25%,< 50%,< 50%,Unknown,Yes,,Yes,,Yes,,Yes,,Unknown,,Yes,,Yes,Government,,Families & friends,,Families & friends,,Yes,Authorities,Yes,More than 2 months,Recovery plans,,Yes,,1500 - 2500,14000%,0%,0%,80%,0,0,0,112,28,140,140
Nepal,8,,28/07/16,,,Male,,Female,,,,All,,Male,,,,All,,Male,,,,All,,,,,,,540,Kiuten,Existed in R7,,Open,28/04/2015,,Rural,Gandaki,Gorkha,Kerauja,2,28.23348,84.90236,2019.019751,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,"No,  no vehicular access",No,Private,Temporary Shelter (CGIs),,No,,,,,No,,,,,,No,Gandaki,Gorkha,Kerauja,4,,,,,165,669,8,17,124,173,25,347,17,25,41,58,91,215,165,338,8,33,322,5,2,3,35,3,0,22,0,16,668,18,<30 mins,28-Jun-15,Yes,Other place in the country,,Fear of landslide/aftershock,,Yes,10,Yes,No,No,No,No,No,No,No,Yes,Dongan camp site,Other,Landslide downhill is active again,> 75%,No,Other,No,Yes,> 75%,None,None,None,> 75%,< 25%,None,,> 75%,> 75%,Cooking Gas,,Kitchen sets,,None,,On-site (>20 minutes),No,Piped water supply,,Piped water supply,,,Filtered,,10-15 liters,None,,Not so good (not hygienic),7,No,0,0,0,0,3,Already on site,,On-site,Day time,No,Yes,Yes,Yes,5,Yes,Yes,Yes,Burning,,No,No,No,> 10 hours ,Own Cash,,,Yes,Collect personally,,No,No,No,Cough,,Cold,,None,,None,,0,2,1,3,0,0,0,,,Yes,No,No,,Yes,,,Off-site (<30 minutes),,Government,,No,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,4,No,Lower,Yes,No,,,,No,,,No,No,,Yes,Construction/daily labour,,Construction/daily labour,,Yes,No,Self organized,,None,,None,,Yes,Unknown,"Medicine  shortage, IDPs have insufficient  info about disaster preparedness and response",0,1,Yes,Unknown,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",No,"No,  no vehicular access",No roads up to camp site,,> 75%,< 25%,< 25%,< 50%,< 25%,Unknown,Yes,,Yes,,Yes,,Yes,,Unknown,,Yes,,Yes,Government,,Families & friends,,Families & friends,,Unknown,,Yes,More than 2 months,Recovery plans,,Yes,,1500 - 2500,16500%,0%,0%,80%,0,0,0,132,33,165,165
Nepal,8,,28/07/16,,,Male,,Male,,,,All,,Female,,,,All,,,,,,,,,,,,,541,Panglacho,Existed in R7,Bamlagchok,Open,26/04/2015,,Rural,Gandaki,Gorkha,Kerauja,3,28.23273,84.89742,1994.940258,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,"No,  no vehicular access",No,Private,Temporary Shelter (CGIs),,No,,,,,No,,,,,,No,Gandaki,Gorkha,Kerauja,3,,,,,40,162,2,8,19,41,6,76,2,4,11,19,22,41,45,86,6,12,86,6,5,1,6,3,0,10,0,7,162,7,<30 mins,1-Jul-15,Yes,Nearest Village,,Fear of landslide/aftershock,,No,,,No,No,No,No,No,No,No,No,,,,> 75%,No,Other,No,Yes,> 75%,None,None,None,> 75%,None,None,,None,> 75%,Cooking Gas,,Kitchen sets,,CGIs,,On-site (>20 minutes),No,Piped water supply,,Piped water supply,,,Filtered,,10-15 liters,None,,Not so good (not hygienic),6,No,0,0,0,0,2,Provided,Oxfam,On-site,Day time,No,Yes,No,Yes,1,No,No,No,Burning,,No,No,No,> 10 hours ,Own Cash,,,Yes,Collect personally,,No,No,No,Cold,,None,,None,,None,,0,3,0,3,0,0,0,,,Yes,No,No,,Yes,,,Off-site (1-2 hours),,Government,,No,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,0,No,Lower,Yes,No,,,,No,,,No,Unknown,,Yes,Construction/daily labour,,Construction/daily labour,,Yes,No,Self organized,,None,,None,,Yes,Unknown,"Medicines shortages,",0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,No,Washing areas,,No lighting,No,"No,  no vehicular access",No roads up to camp site,,< 75%,< 50%,< 25%,< 50%,< 50%,Unknown,Yes,,Yes,,Yes,,Yes,,Unknown,,Yes,,Yes,Armed Forces,,Families & friends,,Families & friends,,Unknown,,Yes,More than 2 months,Recovery plans,,Yes,,1500 - 2500,4000%,0%,0%,100%,0,0,0,40,0,0,40
Nepal,8,,27/07/16,,,Male,,Male,Camp leader,,KI,,,Male,,,,,,Female,,,,,,Female,,,,,566,Kalanchi toll,Existed in R7,,Open,26/04/2015,,Rural,Bagmati,Nuwakot,Kimtang,4,28.01839,85.03113,1738.905145,,Spontaneous,Private land,,No,Don't know,Unknown,,Yes,Yes,Private,Temporary Shelter (CGIs),,No,,,,,No,,,,,,Yes,Bagmati,Nuwakot,Kimtang,5,Bagmati,Nuwakot,Kimtang,6,36,134,2,6,10,40,8,66,2,4,4,10,10,20,42,82,10,18,68,2,2,0,8,0,2,5,0,0,134,0,<30 mins,25-Apr-15,No,None (Stay here),,Fear of landslide/aftershock,,Yes,60,Yes,No,No,No,No,No,No,No,Yes,To live in their own land,Other,To avoid paying land rent,> 75%,No,Other,None,No,> 75%,None,< 25%,None,> 75%,None,None,,> 75%,> 75%,Other,Cash assistance,Other,Livelihood support,Other,Latrine facilities,Off-site (<20 minutes),Yes,Piped water supply,,Piped water supply,,,Filtered,,5-10 liters,None,,Not so good (not hygienic),4,No,0,0,0,0,0,Built by displaced communities,,On-site,Both times,No,No,No,No,0,,,,Garbage pit,,No,No,Yes,< 1 hour,Own Cash,,,Yes,Collect personally,,No,No,No,Diarrhea,,Cold,,Cough,,Mosquito net,,0,0,0,0,1,0,1,,,No,No,No,,No,Too far,,Off-site (1-2 hours),,Local Clinic/med practitioners,,No,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Agriculture/Livestock,,20,No,Lower,Yes,No,,,,No,,,No,Yes,Gulf country,Yes,Livestock,,Agriculture,,Yes,Yes,Self organized,,None,,None,,Yes,Yes,,0,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",No,Yes,,,None,None,None,None,> 75%,> 75%,Yes,,Yes,,Unknown,,Yes,,Unknown,,Yes,,Yes,Government,,Site management,,Local leader,,No,,Yes,Already done,Recovery plans,,Yes,People want to know more about cash assistance programs for reconstruction.,1500 - 2500,3600%,20%,0%,80%,0,7,0,29,0,36,36
Nepal,8,,30/07/16,,,Male,,Male,,,,,,Male,,,,,,Female,,,,,,Female,,,,,568,Dursa Gaang,Existed in R7,Pradhikaran tole,Open,12/05/2015,,Peri-Urban,Bagmati,Rasuwa,Dhunche,5,28.11263,85.29504,2041.270422,,Spontaneous,"Open ground (park, playground, sports ground, other) ",,No,Don't know,Not closing,,"No,  no vehicular access",No,Public/Government,Temporary Shelter (CGIs),,No,,,,,No,,,,,,No,Bagmati,Rasuwa,Haku,3,Bagmati,Rasuwa,Haku,2,45,251,3,20,33,56,12,124,2,5,9,29,40,73,66,122,10,22,127,1,1,0,7,2,2,1,1,0,240,1,Longer,15-Jun-16,Yes,None (Stay here),,Lack of access,,No,,,No,No,No,No,No,No,No,No,,,,> 75%,No,Other,No plan,No,> 75%,None,None,None,> 75%,None,None,,< 50%,< 50%,Cooking Gas,,Fire wood,,Other,Land for relocation,On-site (<20 minutes),Yes,Piped water supply,,Piped water supply,,,No treatment,,>15 liters,Suspended solids,,Good (Hygienic),3,No,0,0,0,0,0,Provided,Save the Children,On-site,Both times,No,No,No,Yes,1,Yes,Yes,Yes,Burning,,Yes,"Yes, offsite",Yes,< 1 hour,Own Cash,,,No,,,No,No,No,Cold,,Conjunctivitis,,Diarrhea,,None,,0,0,0,0,0,1,1,,,No,No,No,,Yes,,,Off-site (<30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Daily Wage laborer,,25,No,Lower,No,No,,,,No,,,Yes,No,,No,Weaving/knitting,,Store/small business,,Yes,No,Military,,None,,None,,Yes,Yes,,0,0,Yes,Yes,No,,No,Yes,,,Yes,,,No,Washing areas,,"Yes, there is lighting and it is adequate",Yes,Yes,,,< 50%,None,None,Unknown,< 50%,< 25%,Yes,,Unknown,,No,No drainage system at all,Yes,,No,No food support,Yes,,Yes,Government,,Mobile Phone,,Families & friends,,No,,Yes,Don't know,Work opportunities,,Yes,,1500 - 2500,4500%,0%,0%,100%,0,0,0,45,0,23,23
Nepal,8,,30/07/16,,,Male,,Male,,,,,,Male,,,,,,Female,,,,,,Female,,,,,571,Kebu,Existed in R7,,Open,15/05/2015,,Rural,Bagmati,Rasuwa,Dhunche,8,28.11648,85.29909,1832.784687,,Spontaneous,Private land,,No,More than 2 months,Other,Objection from host community,"No,  no vehicular access",No,Private,Temporary Shelter (CGIs),,Yes,None,Yes,,,No,,,,,,Yes,Bagmati,Rasuwa,Haku,3,Bagmati,Rasuwa,Haku,8,35,147,6,6,16,39,4,71,0,6,6,12,32,48,34,73,4,8,76,3,3,0,8,2,0,3,0,2,142,3,Longer,15-May-16,No,None (Stay here),,Basic infrastructures damaged,,Yes,5,Yes,No,No,Yes,No,No,No,No,No,,Other,To stay closer to the market,> 75%,No,Other,No plan,Yes,> 75%,None,None,None,> 75%,< 25%,None,,> 75%,< 50%,Cooking Gas,,Mosquito net,,CGIs,,On-site (<20 minutes),Yes,Piped water supply,,Piped water supply,,,No treatment,,5-10 liters,Suspended solids,,Not so good (not hygienic),8,No,0,0,0,0,8,Built by displaced communities,,On-site,Both times,No,No,No,No,0,,,,No System,,Yes,No,No,< 1 hour,Own Cash,,,No,,,Yes,No,No,Cough,,Diarrhea,,Cold,,None,,3,0,1,1,1,0,1,,,Yes,Yes,No,,No,Too expensive,,Off-site (1-2 hours),,Local Clinic/med practitioners,,No,Yes,Yes,Yes,Off-site (>20 minutes),,On-site (<20 minutes),Quake volunteer,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Daily Wage laborer,,5,No,Lower,Yes,No,,,,Yes,,Dhunche,No,No,,Yes,Agriculture,,Agriculture,,Yes,Yes,Self organized,,None,,None,,Yes,Yes,,1,0,Yes,Yes,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting and it is adequate",No,"No,  no vehicular access",No roads up to camp site,,None,None,None,Unknown,< 50%,< 50%,Yes,,Yes,,No,No drainage system at all,Yes,,No,No food support,Yes,,Yes,Government,,Families & friends,,Families & friends,,No,,Yes,Don't know,Recovery plans,,Yes,IDPs don't have ownership certificate of land they had been living at POO. Hence having problem getting government cash assistance for reconstruction.,1500 - 2500,3500%,0%,0%,80%,0,0,0,28,7,35,18
Nepal,8,,30/07/16,,,Male,,Male,,,,,,Female,,,,,,Female,,,,,,,,,,,572,Karagar Toal,Existed in R7,,Open,13/05/2015,,Peri-Urban,Bagmati,Rasuwa,Dhunche,5,28.11018,85.29837,2052.548159,,Spontaneous,Private land,,No,Don't know,Not closing,,Yes,Yes,Private,Temporary Shelter (CGIs),,No,,,,,No,,,,,,No,Bagmati,Rasuwa,Haku,3,Bagmati,Rasuwa,Haku,5,50,227,0,3,38,63,10,114,0,0,5,8,40,78,55,118,13,23,113,2,2,0,4,1,4,0,0,2,225,0,Longer,15-May-15,No,None (Stay here),,Lack of access,,No,,,No,No,No,No,No,No,No,No,,,,> 75%,No,Other,No plan,Yes,> 75%,None,None,None,> 75%,None,None,,< 75%,< 50%,Cooking Gas,,Fire wood,,Other,Land for relocation,On-site (<20 minutes),No,Piped water supply,,Piped water supply,,,No treatment,,5-10 liters,Suspended solids,,Not so good (not hygienic),7,No,0,0,0,0,0,Built by displaced communities,,On-site,Both times,No,No,No,No,1,Yes,Yes,Yes,Municipal collection,,Yes,No,Yes,< 1 hour,Own Cash,,,No,,,No,No,No,Cold,,Diarrhea,,Conjunctivitis,,Mosquito net,,0,0,0,0,0,0,0,,,No,No,No,,Yes,,,Off-site (<30 minutes),,Government,,Yes,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Daily Wage laborer,,0,No,Lower,No,No,,,,No,,,No,No,,No,Weaving/knitting,,Construction/daily labour,,Yes,No,Police,,None,,None,,Yes,Yes,,1,1,Yes,Yes,No,,No,Yes,,,Yes,,,No,Washing areas,,"Yes, there is lighting but it is NOT adequate",No,Yes,,,None,None,< 50%,Unknown,< 75%,< 25%,Yes,,Unknown,,No,No drainage system at all,Yes,,No,No food support,Yes,,Yes,Government,,Families & friends,,Families & friends,,No,,Yes,Don't know,Work opportunities,,Yes,,1500 - 2500,5000%,0%,0%,100%,0,0,0,50,0,38,25
Nepal,8,,01/08/16,,,Female,,Male,IDP,,,,,Female,IDP,,,,,Male,IDP,,,,,Female,IDP,,,,575,Khadegaun ( Selang-1),Existed in R7,,Open,27/04/2015,,Rural,Bagmati,Sindhupalchok,Selang,1,27.8397,85.71983,2009.87564,,Spontaneous,Other,Community forest,No,Don't know,Other,None,"No,  no vehicular access",No,Public/Government,Makeshift/tarpaulin shelter,,Yes,< 50%,Yes,,,No,,,,,,Yes,Bagmati,Sindhupalchok,Golche,1,Bagmati,Sindhupalchok,Gumba,5,49,257,2,17,41,69,4,133,3,5,11,28,37,78,71,140,2,6,124,3,3,0,12,4,0,3,0,4,257,4,1-3 hours,30-Sep-15,No,Place of origin,,Fear of landslide/aftershock,,No,,,No,No,No,No,No,No,No,No,,,,> 75%,No,Other,None,No,> 75%,None,None,None,< 25%,> 75%,None,,< 50%,< 50%,CGIs,,Mosquito net,,None,,Off-site (>20 minutes),No,Piped water supply,,Piped water supply,,,No treatment,,10-15 liters,Suspended solids,,Not so good (not hygienic),9,No,0,0,0,0,0,Provided,Nepal Redcross Society,On-site,Both times,Yes,No,No,Yes,5,Yes,No,No,Garbage pit,,No,"Yes, offsite",No,2-6 hours,Own Cash,,,Yes,Collect personally,,No,No,No,Cough,,Cold,,Skin Infections,,None,,2,0,0,0,0,0,0,,,No,No,No,,Yes,,,Off-site (1-2 hours),,Government,,Yes,Yes,Yes,No,Off-site (<20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Daily Wage laborer,,60,No,Lower,Yes,No,,,,No,,,No,No,,No,Weaving/knitting,,Store/small business,,No,No,,,Alcohol/drug-related disturbance,,None,,Yes,Unknown,,0,0,Yes,Unknown,No,,No,Yes,,,Yes,,,Yes,,,"Yes, there is lighting but it is NOT adequate",No,"No,  no vehicular access",Muddy path to the site,,< 50%,< 75%,< 75%,< 75%,< 75%,< 50%,Yes,,No,Muddy water,Yes,,Yes,,Yes,,Yes,,No,,,Mobile Phone,,Mobile Phone,,Unknown,,Yes,Don't know,Recovery plans,,Yes,,1500 - 2500,4900%,0%,0%,20%,1,0,0,10,39,25,25
Nepal,8,,01/08/16,,,Female,,Male,Precident,,,,,Female,IDP,,,,,Male,IDP,,,,,,,,,,576,Kafledanda ( Selang-1),Existed in R7,,Open,28/04/2015,,Rural,Bagmati,Sindhupalchok,Selang,1,27.84605,85.71926,1858.693002,,Spontaneous,Other,Community forest,No,Don't know,Other,None,"No,  no vehicular access",No,Public/Government,Makeshift/tarpaulin shelter,,Yes,< 50%,Yes,,,No,,,,,,Yes,Bagmati,Sindhupalchok,Selang,8,Bagmati,Sindhupalchok,Selang,9,40,188,1,13,31,51,2,98,2,3,7,20,23,54,52,103,6,8,90,3,3,0,6,2,0,3,0,6,188,2,<30 mins,18-Oct-15,No,Place of origin,,Fear of landslide/aftershock,,No,,,No,No,No,No,No,No,No,No,,,,> 75%,No,Other,None,Unknown,> 75%,None,None,None,< 25%,> 75%,None,,None,< 50%,Tarpaulin,,Mosquito net,,Fire wood,,Off-site (>20 minutes),No,Piped water supply,,Piped water supply,,,No treatment,,10-15 liters,Suspended solids,,Not so good (not hygienic),3,No,0,0,0,0,0,Provided,Nepal Redcross Society,On-site,Both times,No,No,No,Yes,2,No,No,No,Garbage pit,,Yes,"Yes, offsite",Yes,2-6 hours,Own Cash,,,Yes,Collect personally,,No,No,No,Cough,,Cold,,None,,None,,2,0,0,0,0,0,0,,,No,No,No,,Yes,,,Off-site (1-2 hours),,Government,,Yes,Yes,Yes,No,Off-site (>20 minutes),,,,> 75%,> 75%,None,,,None,,,None,,,None,,,Yes,Yes,Agriculture/Livestock,,Daily Wage laborer,,60,Yes,Lower,Yes,No,,,,No,,,No,No,,No,Agriculture,,Store/small business,,No,No,,,Alcohol/drug-related disturbance,,None,,Yes,Unknown,,0,0,Yes,Unknown,No,,Yes,Yes,,,Yes,,,Yes,,,No lighting,No,"No,  no vehicular access",Muddy path to the site,,< 50%,< 75%,< 50%,< 75%,< 75%,< 50%,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,,Radio / News,,Radio / News,,Unknown,,Yes,Don't know,Recovery plans,,Yes,,1500 - 2500,4000%,0%,0%,20%,1,0,0,8,32,0,20
