country,round,site_region,site_province,site_district,site_id,site_name,site_longitude,site_latitude,,site_type,,site_date_open,,,site_date_close,site_access,site_area,site_owner,site_shelter,smc_exist,smc_community,,,sma_exist,sma_type,sma_name,,regist_activity,,support_wash,support_health,support_shelter,support_food,support_protection,support_edu,support_live,,,,,,,n_family,n_total,n_infants_male,n_infants_female,n_infants,n_child_male,n_child_female,n_child,n_youth_male,n_youth_female,n_youth,n_adult_male,n_adult_female,n_adult,n_elder_male,n_elder_female,n_elder,n_pregnant,n_lactating,n_pwd,,,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,pre_displaced,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_remark,water_complaint,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,hyg_promotion,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,health_screen,food_sup_lac,food_sup_child,,,,health_medicine,health_center,health_location,,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,,,,sec_provided,,sec_provider,sec_issue,,sec_tradition,sec_child_issues,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,,,,
Nigeria,5,BORNO,MAIDUGURI M. C.,MAISANDARI,,GOVERNMENT COLLEGE,13.1462,11.8082,Planned,Collective Settlement/Centre,NULL,9/18/14,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,,,Yes,Government,,,No,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,BORNO,GWOZA,GWOZA TOWN GADAMAYO,BORNO,GWOZA,NGOSHE,600,3714,60,65,125,200,220,420,950,519,1469,600,800,1400,120,180,300,60,200,30,5,300,11,0,9,50,20,0,9/18/14,6/8/15,Yes,BORNO,GWOZA,GWOZA WAKANE / BULABULIN,Place of origin,Lack of safety,None,None,None,>75%,None,None,None,<75%,Blankets/Mats,Soap,Hygiene kits,On-site (<10 mn),<50 %,Yes,None,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),84,Yes,Yes,No,Unknown,2,Yes,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,No,No,Malaria,Fever,Diarrhea,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Petty trade,600,Yes,No,No,Yes,Yes,Military,Alcohol/drug-related disturbance,Exchange of goods/food for sex,Forced family separations,Child separated from their care givers (or just child separation),Fighting between recipients at distribution points,6,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,NULL,Site Management,Safety and Security,No
Nigeria,5,BORNO,MAIDUGURI M. C.,MAISANDARI,,WTC CAMP,13.1397,11.83411,Planned,Collective Settlement/Centre,NULL,9/15/14,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,,,Unknown,NULL,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BORNO,BAMA,KASUGULA,BORNO,BAMA,SHEHURI / HAUSARI / MAIRI,880,6139,64,148,212,650,1100,1750,660,1270,1930,0,2157,2157,0,90,90,70,1000,7,16,200,30,6,47,0,0,10,9/15/14,7/24/15,No,BORNO,KONDUGA,NULL,Place of origin,Lack of safety,None,None,None,<75%,None,<25%,<50%,<50%,Mosquito nets,Blankets/Mats,Hygiene kits,On-site (<10 mn),100%,Yes,Lake/dam,Hand pumps,>15 ltr,Yes,None,No,Good (Hygienic),130,Yes,Yes,Yes,Garbage pit,0,Yes,Yes,No,Yes,No,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Fever,Malaria,Malnutrition,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,>75%,Petty trade,0,Yes,No,No,Yes,Yes,Military,Friction anmong site residents,None,Forced family separations,None,None,5,0,Yes,Yes,Yes,No,Yes,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Authorities,Safety and Security,No
Nigeria,5,FCT,GWAGWALADA, DOBI,,CAC DOBI,7.00136,9.06381,Spontaneous,Collective Settlement/Centre,NULL,5/4/14,Open,Unknown,NULL,Yes,NULL,Private Building,Host family house,No,N/A,,,No,NULL,,,No,No,No,No,No,No,No,No,No,BORNO,GWOZA,ASHIGASHIYA,NULL,NULL,NULL,7,45,2,4,6,6,5,11,8,4,12,8,8,16,0,0,0,1,6,0,0,0,0,0,0,0,0,0,5/4/14,NULL,Yes,BORNO,GWOZA,ASHIGASHIYA,Place of origin,Lack of safety,None,None,None,>75%,<75%,<50%,None,None,Kitchen sets,Soap,Blankets/Mats,On-site (<10 mn),>50 %,No,Unprotected well,Unprotected well,>15 ltr,No,Suspended solids,Yes,Non usable,0,No,No,No,No waste disposal system,0,No,Yes but no soap/water inside,No,No,Yes,No,No,Yes,Never,Cultivated,No,No,No,Malaria,Malnutrition,None,No,Yes,On-site (<3 km),Local clinic,No,None,Unknown,None,Farming,7,Yes,Yes,Yes,Yes,No,Self organized,None,None,None,None,None,0,0,No,No,No,No,No,Excellent,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Mobile phone,Safety and Security,No
Nigeria,5,FCT,MUNICIPAL, CITY CENTRE,,KUCHINGOORO IDP SITE,7.43771,9.0081,Spontaneous,Camp,NULL,1/7/14,Open,Unknown,NULL,Yes,NULL,Private Building,Self-made tents,Yes,Yes,,,No,NULL,,,No,No,No,No,No,No,No,No,No,BORNO,GWOZA,NULL,ADAMAWA,MICHIKA,NULL,150,844,10,13,23,102,110,212,180,165,345,162,102,264,0,0,0,10,30,0,0,0,0,10,0,11,13,0,1/7/14,5/9/15,Yes,BORNO,GWOZA,NULL,Place of origin,House damaged/destroyed,None,<25%,>75%,None,None,<25%,<25%,<75%,Blankets/Mats,Mosquito nets,Bucket/Jerry Can,On-site (<10 mn),100%,Yes,Piped water supply,Piped water supply,>15 ltr,Yes,None,No,Good (Hygienic),20,Yes,Yes,Yes,Burning,1,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Host community donation,No,No,No,Fever,Diarrhea,Malaria,No,Yes,Off-site (>3 km),NGO,Yes,On-site,<1 km,<50%,Daily labourer,30,No,Yes,No,Yes,No,Self organized,Friction anmong site residents,None,None,None,Not enough assistance for all entitled,0,0,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Radio/news,Situation in areas of origin,No
Nigeria,5,FCT,MUNICIPAL, GARKI,,DURUMI IDP SITE,7.46188,9.01752,Spontaneous,Camp,NULL,5/3/14,Open,Unknown,NULL,Yes,NULL,Private Building,Self-made tents,Yes,Yes,,,Yes,None,,,No,No,No,No,No,No,No,No,No,BORNO,NULL,NULL,BORNO,BURUKU,NULL,200,1126,85,110,195,89,115,204,135,173,308,179,230,409,4,6,10,20,20,4,0,10,4,5,8,9,0,0,2/9/14,8/7/15,Yes,BORNO,NULL,NULL,Place of origin,House damaged/destroyed,<50%,None,<75%,None,<75%,<50%,<75%,<75%,Plastic sheeting,Blankets/Mats,Hygiene kits,On-site (<10 mn),100%,Yes,Piped water supply,Hand pumps,>15 ltr,Yes,None,No,Not so good (Not hygienic),1,No,No,Yes,Burning,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Host community donation,No,No,No,Cough,Fever,Malaria,Yes,Yes,Off-site (>3 km),NGO,Yes,On-site,<1 km,<75%,Daily labourer,105,No,Yes,No,Yes,Yes,Police,Friction with host community,None,None,None,None,3,1,Yes,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Radio/news,Situation in areas of origin,No
Nigeria,5,TARABA,BALI,BALI  A,,NKST,10.96451,7.85086,Spontaneous,Collective Settlement/Centre,NULL,3/14/14,Open,Unknown,NULL,Yes,400,Unknown,Host family house,Yes,Yes,,,Yes,Religious entity,,,Yes,No,No,No,No,No,No,No,No,TARABA,BALI,BALI  A,TARABA,BALI,SUNTAI,155,332,12,16,28,15,22,37,22,35,57,69,99,168,15,27,42,6,10,10,0,42,0,0,0,20,12,5,3/14/14,6/18/15,Yes,TARABA,BALI,BALI  A,Place of origin,Lack of safety,<25%,None,None,>75%,None,None,None,<75%,Blankets/Mats,Bucket/Jerry Can,Soap,On-site (<10 mn),>50 %,Yes,Protected well,Protected well,10 - 15 ltr,Yes,Suspended solids,Yes,Not so good (Not hygienic),3,No,No,No,No waste disposal system,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Distribution,No,No,No,Malaria,Cough,Skin disease,Yes,Unknown,On-site (>3 km),Government,No,None,<5 km,None,Farming,20,Yes,No,No,Yes,No,Religious Leaders,None,None,None,None,None,0,0,No,Unknown,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Local Leader,Situation in areas of origin,No
Nigeria,5,TARABA,BALI,BALI  A,,CATHOLIC CHURCH,10.96658,7.85504,Planned,Collective Settlement/Centre,NULL,3/14/14,Open,Unknown,NULL,Yes,NULL,Private Building,Community center,Yes,Yes,,,No,NULL,,,Yes,No,No,No,No,Yes,No,No,No,TARABA,BALI,BALI B,TARABA,BALI,BALI  A,51,242,12,8,20,32,43,75,30,35,65,33,37,70,4,8,12,3,12,2,1,8,0,0,2,17,10,0,12/3/14,6/18/15,Yes,TARABA,BALI,BALI  A,Place of origin,Lack of safety,None,None,None,>75%,>75%,<25%,None,<50%,Blankets/Mats,Mosquito nets,Soap,Off-site (>10 mn),>50 %,Yes,Hand pumps,Hand pumps,>15 ltr,No,Taste,Yes,Not so good (Not hygienic),3,No,No,No,Burning,1,Yes,Yes but no soap/water inside,No,No,No,No,No,Yes,Never,Distribution,No,No,No,Fever,Diarrhea,Cough,No,Yes,On-site (<3 km),Other,No,On-site,<5 km,None,Farming,15,Yes,No,No,No,No,None,None,None,None,None,None,0,0,No,No,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Unknown,Unknown,No
Nigeria,5,TARABA,BALI,BALI B,,L.G. COUNCIL HALL,10.96591,7.85581,Spontaneous,Collective Settlement/Centre,NULL,3/1/14,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,No,N/A,,,No,NULL,,,No,No,No,No,No,No,No,No,No,TARABA,BALI,TAKALAFIYA,TARABA,BALI,MAIHULA,40,173,3,9,12,34,23,57,11,17,28,20,36,56,14,6,20,2,8,1,2,14,0,0,0,5,3,0,3/14/14,6/22/15,Yes,TARABA,BALI,TAKALAFIYA,Place of origin,Lack of safety,None,None,None,None,None,None,>75%,>75%,Blankets/Mats,Kitchen sets,Bucket/Jerry Can,Off-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,>15 ltr,No,Taste,Yes,Non usable,0,No,No,No,No waste disposal system,0,Yes,Yes,No,No,Yes,No,No,Yes,Irregular,Distribution,No,No,No,Malaria,Cough,Fever,Yes,Yes,Off-site (>3 km),Government,No,None,<5 km,None,Farming,6,No,No,Yes,Yes,No,Police,None,None,None,None,Non-affected groups are given humanitarian assistance,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Local Leader,Situation in areas of origin,No
Nigeria,5,TARABA,DONGA,AKATE,,AKATE PRIMARY SCH,10.0231,7.72166,Spontaneous,Collective Settlement/Centre,NULL,2/14/15,Open,Unknown,NULL,Yes,NULL,Public/Government,School,No,N/A,,,No,NULL,,,Yes,No,No,No,No,Yes,Yes,No,No,TARABA,DONGA,NULL,TARABA,DONGA,AKATE,62,392,12,16,28,35,45,80,53,48,101,62,82,144,16,23,39,14,28,2,1,39,0,0,8,6,4,9,2/14/15,2/17/15,Yes,TARABA,DONGA,BIKADARKO,Place of origin,House damaged/destroyed,None,None,None,>75%,None,<25%,<25%,<25%,Plastic sheeting,Mosquito nets,Blankets/Mats,Off-site (>10 mn),>50 %,No,Hand pumps,Hand pumps,10 - 15 ltr,No,Odor/smell,Yes,Not so good (Not hygienic),0,No,No,No,No waste disposal system,0,Yes,Yes but no soap/water inside,No,Yes,No,Yes,No,Yes,Never,Host community donation,No,No,No,Malaria,Fever,Cough,Yes,Yes,On-site (<3 km),Government,No,On-site,<1 km,<25%,Farming,13,Yes,No,No,Yes,No,Military,None,None,None,None,None,0,0,No,No,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Local Leader,Access to services,No
Nigeria,5,TARABA,DONGA,ASIBITI,,DONZUMGA PRIMARY SCHOOL,10.04837,7.72136,Spontaneous,Collective Settlement/Centre,NULL,4/14/14,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,,,Yes,Government,,,Yes,No,No,No,No,Yes,Yes,Yes,No,TARABA,DONGA,ASIBITI,TARABA,DONGA,ASIBITI,47,187,3,9,12,9,21,30,25,27,52,24,33,57,11,25,36,13,12,2,2,36,0,0,6,3,8,5,4/14/14,2/22/15,Yes,TARABA,DONGA,ASIBITI,Place of origin,House damaged/destroyed,None,None,<25%,>75%,None,<25%,None,<25%,Plastic sheeting,Mosquito nets,Blankets/Mats,Off-site (>10 mn),>50 %,No,Unprotected well,Water truck,<5 ltr,No,Odor/smell,Yes,Not so good (Not hygienic),2,No,No,No,Garbage pit,0,No,Yes but no soap/water inside,No,Yes,No,Yes,No,Yes,Never,Distribution,No,No,No,Malaria,Fever,Cough,Yes,Yes,Off-site (<3 km),Government,No,On-site,<1 km,None,Farming,0,No,No,No,Yes,No,Military,None,None,None,None,None,1,0,No,No,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Local Leader,Access to services,No
Nigeria,5,TARABA,GASSOL,MUTUM BIYU I,,LG QUATERS,10.45545,8.37453,Planned,Collective Settlement/Centre,NULL,6/8/14,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,No,NULL,,,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,TARABA,WUKARI,AVYI,TARABA,WUKARI,HOSPITAL,58,342,9,18,27,21,59,80,46,72,118,27,81,108,4,5,9,13,29,2,0,9,1,0,7,3,2,0,6/15/14,7/11/14,No,TARABA,WUKARI,AVYI,Place of origin,House damaged/destroyed,None,None,None,None,<25%,>75%,None,<50%,Hygiene kits,Blankets/Mats,Mosquito nets,On-site (<10 mn),<50 %,No,Unprotected well,Unprotected well,10 - 15 ltr,Yes,Taste,Yes,Not so good (Not hygienic),4,Yes,Yes,No,Burning,0,No,Yes but no soap/water inside,No,No,No,No,No,No,Never,Cash,No,No,No,Malaria,Cough,Malnutrition,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<25%,Petty trade,37,Yes,Unknown,Yes,Yes,No,Military,None,None,None,None,Not enough assistance for all entitled,0,0,Yes,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Radio/news,Distribution,Yes
Nigeria,5,TARABA,JALINGO,KONA,,MURTAI CAMP,11.27546,9.03935,Spontaneous,Camp,NULL,2/21/14,Open,Unknown,NULL,Yes,NULL,Private Building,Bunk houses,Yes,Yes,,,No,NULL,,,No,No,No,No,No,No,No,No,No,BORNO,GWOZA,HAMBAGDA/ LIMAN KARA/ NEW SETTLE,BORNO,GWOZA,GAVVA / AGAPALWA,91,488,12,7,19,72,85,157,64,87,151,62,70,132,16,13,29,36,15,5,0,29,5,7,21,15,4,4,2/21/14,2/23/15,Yes,BORNO,GWOZA,HAMBAGDA/ LIMAN KARA/ NEW SETTLE,Place of origin,Lack of safety,None,None,>75%,<25%,None,<25%,<25%,<25%,Blankets/Mats,Bucket/Jerry Can,Kitchen sets,Off-site (>10 mn),Unkown,No,Protected well,Surface water,>15 ltr,No,Taste,Yes,Not so good (Not hygienic),0,No,No,No,No waste disposal system,0,No,Yes but no soap/water inside,No,No,Yes,No,No,No,Never,Cultivated,No,No,No,Malaria,Fever,Cough,No,No,None,None,Yes,On-site,<2 km,<25%,Farming,0,No,Yes,No,Yes,No,Self organized,None,None,None,None,None,0,0,Yes,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Mobile phone,Safety and Security,No
Nigeria,5,TARABA,JALINGO,KONA,,MAYO DASA,11.33261,8.94517,Spontaneous,Collective Settlement/Centre,NULL,2/21/14,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,Yes,Unknown,,,No,No,No,No,No,No,No,No,No,BORNO,GWOZA,GUDUF NAGADIYO,BORNO,CHIBOK,MBALALA,80,393,11,6,17,68,81,149,51,53,104,48,52,100,9,14,23,32,16,3,0,23,11,16,31,9,6,0,6/25/14,5/16/15,Yes,BORNO,NULL,NULL,Place of origin,Lack of safety,None,None,None,>75%,None,>75%,<50%,<50%,Mosquito nets,Bucket/Jerry Can,Kitchen sets,On-site (<10 mn),>50 %,No,Hand pumps,Hand pumps,>15 ltr,No,Taste,Yes,Not so good (Not hygienic),0,No,No,No,Burning,0,No,Yes but no soap/water inside,No,No,Yes,No,No,Yes,Irregular,Cash,No,No,No,Malaria,Fever,Cough,No,Yes,On-site (>3 km),Local clinic,Yes,On-site,<2 km,<25%,Daily labourer,0,Yes,No,No,Yes,No,Police,None,None,None,None,None,0,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Mobile phone,Safety and Security,No
Nigeria,5,TARABA,WUKARI,AVYI,,EBENEZER PRI/SCHOOL,9.768038,7.874408,Spontaneous,Collective Settlement/Centre,NULL,3/20/15,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,Yes,Religious entity,,,Yes,No,No,Yes,Yes,Yes,Yes,No,No,TARABA,GASSOL,WURYO,NULL,NULL,NULL,48,196,7,9,16,11,12,23,29,39,68,36,48,84,3,2,5,7,6,0,0,5,0,0,3,10,6,3,NULL,NULL,Yes,TARABA,GASSOL,WURYO,Place of origin,House damaged/destroyed,None,None,None,>75%,None,>75%,>75%,None,Mosquito nets,Blankets/Mats,Kitchen sets,Off-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,5 - 10 ltr,No,Taste,No,Not so good (Not hygienic),2,No,No,No,Garbage pit,0,No,Yes but no soap/water inside,No,No,No,No,No,Yes,Never,Host community donation,Yes,No,No,Malaria,Fever,Skin disease,No,Yes,Mobile clinic,Local clinic,Yes,Off-site,<2 km,<25%,Farming,0,No,No,No,Yes,No,Self organized,Friction anmong site residents,None,Unknown,Child physical & emotional abuse,Assistance was physically inadequate for most vulnerable,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Mobile phone,Safety and Security,No
Nigeria,5,TARABA,WUKARI,BANTAJE,,BANTAKISHHA,10.124467,8.13573,Planned,Collective Settlement/Centre,NULL,3/1/14,Open,Unknown,NULL,Yes,NULL,Public/Government,School,Yes,Yes,,,No,NULL,,,Yes,No,No,Yes,Yes,Yes,Yes,No,No,TARABA,WUKARI,BANTAJE,TARABA,WUKARI,JIBU,113,931,29,73,102,57,98,155,103,174,277,101,192,293,32,72,104,42,7,1,2,104,NULL,2,NULL,NULL,10,1,3/17/14,7/7/15,Yes,TARABA,WUKARI,PUJE,Place of origin,House damaged/destroyed,None,None,None,>75%,>75%,>75%,>75%,None,Mosquito nets,Kitchen sets,Bucket/Jerry Can,On-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,5 - 10 ltr,No,Taste,Yes,Not so good (Not hygienic),0,Yes,Yes,Yes,Garbage pit,0,Yes,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Irregular,Distribution,Yes,No,No,Malaria,Fever,Skin disease,No,Yes,On-site (<3 km),Local clinic,Yes,On-site,<10 km,<25%,Pastoralism,0,No,Yes,No,Yes,Yes,Self organized,Friction anmong site residents,None,None,Child physical & emotional abuse,Assistance was physically inadequate for most vulnerable,0,0,No,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,NULL,Mobile phone,Safety and Security,No
Nigeria,5,TARABA,WUKARI,HOSPITAL,,FAMILY SUPPORT,9.777834,7.870979,Planned,Collective Settlement/Centre,NULL,3/9/14,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,No,NULL,,,Yes,No,No,Yes,Yes,Yes,Yes,No,No,TARABA,WUKARI,PUJE,TARABA,WUKARI,HOSPITAL,148,889,56,40,96,79,84,163,112,106,218,206,195,401,8,3,11,16,10,6,NULL,11,NULL,NULL,27,25,10,15,6/9/14,3/22/15,Yes,TARABA,WUKARI,HOSPITAL,Place of origin,House damaged/destroyed,None,None,None,>75%,None,>75%,<25%,<75%,Mosquito nets,Blankets/Mats,Kitchen sets,On-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,5 - 10 ltr,No,Taste,Yes,Not so good (Not hygienic),0,Yes,Yes,No,Garbage pit,0,Yes,Yes but no soap/water inside,No,Yes,No,No,No,Yes,Never,Host community donation,Yes,No,No,Malaria,Fever,Skin disease,No,Yes,Mobile clinic,Local clinic,Yes,Off-site,<2 km,<25%,Farming,0,No,No,No,Yes,Yes,Local Authorities,Friction anmong site residents,Unknown,Unknown,Sexual violence,Assistance was physically inadequate for most vulnerable,0,0,No,No,No,Yes,No,Good,Good,No lighting,No,N/A,NULL,Mobile phone,Safety and Security,No
Nigeria,5,TARABA,WUKARI,PUJE,,EAST PRI SCHOOL,9.785993,7.8696102,Spontaneous,Collective Settlement/Centre,NULL,4/20/14,Open,Unknown,NULL,Yes,NULL,Public/Government,Government building,Yes,Yes,,,Yes,Religious entity,,,Yes,No,No,Yes,Yes,Yes,No,No,No,TARABA,WUKARI,JIBU,TARABA,WUKARI,BANTAJE,84,588,24,30,54,50,68,118,87,89,176,110,90,200,25,15,40,4,14,1,0,40,0,1,7,8,5,2,4/20/14,7/7/15,Yes,TARABA,WUKARI,JIBU,Place of origin,House damaged/destroyed,None,None,None,>75%,None,>75%,>75%,None,Mosquito nets,Blankets/Mats,Kitchen sets,On-site (<10 mn),Unkown,Unknown,Hand pumps,Hand pumps,5 - 10 ltr,No,Taste,Yes,Not so good (Not hygienic),0,No,No,No,Burning,0,No,Yes but no soap/water inside,No,Yes,No,No,No,Yes,Never,Host community donation,Yes,No,No,Malaria,Fever,Skin disease,No,Yes,Mobile clinic,Local clinic,Yes,Off-site,<2 km,<25%,Farming,0,No,No,No,Yes,Unknown,Self organized,Friction anmong site residents,Unknown,Unknown,Child physical & emotional abuse,Assistance was physically inadequate for most vulnerable,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,NULL,Mobile phone,Safety and Security,No
Nigeria,5,YOBE,DAMATURU,DAMATURU CENTRAL,,BUKAR ALI PRI SCHOOL,11.71355,11.95566,Spontaneous,Collective Settlement/Centre,NULL,8/27/15,Open,Unknown,NULL,Yes,532,Public/Government,School,Yes,Yes,,,Yes,Government,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,YOBE,DAMATURU,GABIR/MADURI,YOBE,DAMATURU,MAISANDARI/WAZIRI IBRAHIM ESTATE,26,295,8,13,21,14,21,35,33,48,81,67,84,151,3,4,7,8,28,1,0,7,0,0,0,0,0,0,6/27/15,7/5/15,Yes,YOBE,DAMATURU,GABIR/MADURI,Place of origin,Lack of safety,None,None,None,>75%,<75%,None,<50%,<50%,Soap,Hygiene kits,Mosquito nets,On-site (<10 mn),100%,Yes,Water truck,Water truck,>15 ltr,Yes,None,No,Good (Hygienic),8,Yes,Yes,Yes,Garbage pit,2,No,Yes but no soap/water inside,No,No,No,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Cough,Fever,Yes,Yes,Off-site (<3 km),Government,No,On-site,<1 km,None,Agro-pastoralism,2,No,No,No,Yes,No,Community Leaders,None,None,None,None,None,2,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,NULL,Families/Friends,Safety and Security,Yes
Nigeria,5,YOBE,DAMATURU,KUKARETA/WARSALA,,KUKARETA,11.73793,12.18889,Spontaneous,Camp,NULL,8/3/15,Open,Unknown,NULL,Yes,635,Ancestral,Self-made tents,No,N/A,,,No,NULL,,,No,No,No,No,No,No,No,No,No,BORNO,KAGA,NGAMDU,YOBE,GUJBA,GONIRI,598,2962,55,84,139,208,389,597,856,482,1338,221,486,707,83,98,181,86,152,8,0,181,0,0,12,0,0,0,8/3/15,8/8/15,Yes,BORNO,KAGA,NULL,Place of origin,Lack of safety,<25%,>75%,<75%,<25%,None,>75%,<75%,None,Plastic sheeting,Kitchen sets,Mosquito nets,On-site (>10 mn),>50 %,No,Ponds/canals,Hand pumps,10 - 15 ltr,No,Taste,Yes,Non usable,0,No,No,No,No waste disposal system,0,Yes,Yes but no soap/water inside,No,No,Yes,No,No,Yes,Irregular,Host community donation,No,No,No,Malaria,Diarrhea,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<25%,Agro-pastoralism,0,Yes,Yes,Yes,Yes,No,Military,None,None,None,None,Not enough assistance for all entitled,2,0,Yes,Yes,No,No,No,Excellent,Excellent,No lighting,No,N/A,NULL,Families/Friends,Safety and Security,Yes
Nigeria,5,YOBE,DAMATURU,NJIWAJI/GWANGE,,POMPOMARI,11.75742,11.97827,Planned,Collective Settlement/Centre,NULL,NULL,Open,Unknown,NULL,Yes,NULL,Public/Government,Individual house,No,N/A,,,No,NULL,,,No,No,No,No,No,No,No,No,No,YOBE,GUJBA,GUJBA,YOBE,GUJBA,GUJBA,341,1221,23,42,65,49,58,107,208,259,467,248,260,508,32,42,74,28,79,2,1,74,0,0,0,0,0,0,3/28/15,8/1/15,No,YOBE,GUJBA,NULL,Place of origin,Lack of safety,<75%,<25%,None,<25%,None,<75%,>75%,>75%,Hygiene kits,Soap,Blankets/Mats,On-site (<10 mn),100%,Yes,Water truck,Water truck,>15 ltr,Yes,None,No,Good (Hygienic),37,Yes,Yes,Yes,Garbage pit,3,No,Yes but no soap/water inside,Yes,Yes,No,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,Yes,Malaria,Diarrhea,Fever,Yes,Yes,On-site (>3 km),Government,Yes,On-site,<1 km,Unknown,Agro-pastoralism,20,Yes,No,No,Yes,Yes,Police,Theft,None,None,None,None,3,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,NULL,Families/Friends,Safety and Security,Yes
