country,,,,,,,,survey_date,round,,site_id,site_name,site_cardinal,site_region,site_province,site_district,,,,,site_longitude,site_latitude,sma_exist,,smc_community,,,,sma_exist,,sma_name,sma_type,,,,regist_activity,,,,support_wash,,support_health,,support_shelter,,support_food,,support_protect,,support_edu,,support_live,,site_class,site_type,,,,,site_access,site_area,site_owner,,,,,,,,,,,,,n_family,,n_infants_male,n_infants_female,n_child_male,n_child_female,n_youth_male,n_youth_female,n_adult_male,n_adult_female,n_elder_male,n_elder_female,n_infants,n_child,n_youth,n_adult,n_elder,n_male,n_female,n_total,n_pregnant,n_lactating,n_pwd,,,n_child_sep,n_child_unacc,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,n_chronic_ill,,,pre_displaced,,,,,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,nfi_other,site_repair,,water_location,,,,water_operational,,water_source_np,,water_source_p,,water_cons,,water_potable,,water_remark,,water_complaint,,latrine_cond,,n_latrine,latrine_gender,,bathing_gender,,latrine_lock,,hyg_waste,,n_garbage,garbage_problem,,hyg_station,,hyg_evidence,,hyg_promotion,,hyg_open_def,,hyg_drainage,food_access,,food_market,,food_freq,,food_source,,health_screen,,food_sup_lac,,food_sup_child,,,,,,health_medicine,,health_center,,health_location,,health_provider,,edu_access,,edu_location,,edu_distance,,per_sch,,,job_access,,n_hh_income,,,,,sec_provided,,,,sec_provider,,,,,,sec_tradition,,sec_child_issue,,,,n_space_child,n_space_female,,,,,unsafe_female,unsafe_male,unsafe_child,,,,,site_lighting,,,,,,job_abr,,job_abr_in,,,,
Nigeria,4/22/15 18:01,4/21/15 14:42,4/21/15 16:27,21-Apr-15,351612060609275,621300277460794,351612060609275,16-Mar-15,3,male,BO_S011,Govt G.C. Yerwa,north_east,borno,Maiduguri,MAISANDARI,,,,,13.11887,11.834,yes,,yes,,,,yes,,Sema/Nema,government,,,,no,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,planned,collective settlement,,1-Sep-14,unknown,21-Apr-15,yes,400,public,school,,north_east,borno,bama,Shehuri,north_east,borno,konduga,Kawuri,none,,711,by_gender_and_age_group,,,,,,,,,,,111,169,1924,1485,2004,2239,3454,5693,38,41,8,0,114,48,23,79,173,121,212,2,1-Sep-15,21-Apr-15,yes,,place of origin,,lack of safety,,north_east,borno,bama,Banki,2__less_than_25_percent,3__less_than_50_percent,3__less_than_50_percent,4__less_than_75_percent,6__unknown,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,3__mosquito_nets,12__hygiene_kits,2__blankets,,yes,,1__onsite_less_than_20,,yes,,1__operational_50_more,,3__piped_water_supply,,3__piped_water_supply,,4__more_than_15_liters,,no answer,,5__none,,no,,not_so_good,,18,yes,,yes,,no,,2__garbage_pit,,7,no,,none,,no,,no answer,,no,,no,yes_onsite,,yes,,1__everyday,,2__distribution,,yes,,yes,,no,,2__diarrhea,3__malaria,15__cough,,no,,no answer,,1__on-site_less_than_3_km,,government,,yes,,1__onsite,,1__less_than_1_km,,6__unknown,3__farming,,no,,,no,,no,,yes,,yes,,5__community_leaders,,1__alcohol_drug_related_disturba,,,,7__none,,none,,1__fighting_between_recipients_a,,3,2,no,,no answer,,yes,yes,yes,2__good,,3__poor,,not_adequate,,1__families_friends,,6__safety_and_security,,no,,,yes,yes,,711
Nigeria,4/22/15 17:57,4/21/15 15:20,4/21/15 17:40,21-Apr-15,351612060615355,621300088125550,351612060615355,19-Mar-15,3,male,BO_S012,EYN Church,north_east,borno,Maiduguri,MAISANDARI,,,,,11.13577,11.834,yes,,yes,,,,yes,,SEMA/NEMA,government,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,planned,collective settlement,,24-Jun-14,unknown,21-Apr-15,yes,650,public,government building,,north_east,borno,gwoza,Gwoza,north_east,borno,gwoza,Gwoza,storm,N/A,702,by_gender_and_age_group,,,,,,,,,,,456,1623,793,669,666,1211,2996,4207,25,150,30,12,297,5,10,2,30,35,2,2,5-Jul-14,5-Jul-14,no,,place of origin,,lack of food,,north_east,borno,gwoza,Gwoza,2__less_than_25_percent,2__less_than_25_percent,1__none,2__less_than_25_percent,3__less_than_50_percent,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,2__blankets,3__mosquito_nets,10__soap,,yes,,1__onsite_less_than_20,,unknown,,1__operational_50_more,,2__handpumps,,3__piped_water_supply,,2__less_than_10_liters,,unknown,,5__none,,no,,1__good,,12,yes,,yes,,yes,,2__garbage_pit,,0,yes,,none,,no,,yes,,yes,,yes,yes_onsite,,no,,6__irregular,,2__distribution,,no,,no,,no,,4__malnutrition,3__malaria,6__fever,,yes,,yes,,1__on-site_less_than_3_km,,government,,yes,,unknown,,2__less_than_2_km,,2__less_than_25_percent,1__pastoralism,,no,,,no,,no,,yes,,yes,,3__military,,3__friction_among_site_residents,,,,3__forced_family_separations,,1__child_physical_abuse,,not_enough_assistance_for_all,,3,0,yes,,yes,,no,no,no,2__good,,2__good,,not_adequate,,6__mobile_phone,,9__situation_in_areas_of_origin,,no,,,yes,yes,,702
Nigeria,4/22/15 17:56,4/21/15 13:15,4/22/15 17:40,21-Apr-15,359535057820435,,359535057820435,19-Mar-15,3,male, B0_S013,BOCOLIS,north_east,borno,Maiduguri,MAFONI,,,,,13.14872,11.845,yes,,yes,,,,yes,,NONE,government,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,no,,planned,collective settlement,,1-Aug-14,unknown,21-Apr-15,yes,0,public,government building,,north_east,borno,mobbar,MOBBAR,north_east,borno,marte,,storm,,1888,by_gender_and_age_group,,,,,,,,,,,4555,4136,3218,4829,2137,8657,10218,18875,31,27,7,3,2,31,51,19,72,21,8,11,12-Aug-14,12-Aug-14,no answer,,place of origin,,lack of safety,,north_east,borno,mobbar,MOBBAR,2__less_than_25_percent,1__none,1__none,6__unknown,1__none,3__less_than_50_percent,2__less_than_25_percent,2__less_than_25_percent,2__blankets,12__hygiene_kits,3__mosquito_nets,,yes,,2__onsite_more_than_20,,no answer,,2__operational_50_less,,2__handpumps,,3__piped_water_supply,,4__more_than_15_liters,,no answer,,5__none,,yes,,not_so_good,,12,yes,,yes,,yes,,3__burning,,0,yes,,yes,,unknown,,unknown,,yes,,yes,yes_onsite,,unknown,,1__everyday,,4__cultivated,,yes,,no,,yes,,3__malaria,2__diarrhea,7__skin_disease,,yes,,yes,,1__on-site_less_than_3_km,,government,,unknown,,no answer,,1__less_than_1_km,,2__less_than_25_percent,11__no_answer,,yes,,0,no answer,,unknown,,yes,,yes,,1__self_organized,,9__unknown,,,,8__unknown,,1__child_physical_abuse,,1__fighting_between_recipients_a,,0,0,unknown,,yes,,unknown,unknown,yes,2__good,,3__poor,,3__no_lighting,The light is not provided,1__families_friends,,9__situation_in_areas_of_origin,,unknown,,,yes,yes,,1888
Nigeria,4/22/15 17:57,4/21/15 12:54,4/21/15 17:40,21-Apr-15,351612060615355,621300088125550,351612060615355,18-Mar-15,3,male,BO_S014,Teachers Village,north_east,borno,Maiduguri,Bolori 1,,,,,13.11877,11.834,yes,,yes,,,,yes,,Teachers College Camp,government,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,spontaneous,collective settlement,,22-Feb-14,unknown,21-Apr-15,yes,720,unknown,government building,,north_east,borno,ngala,Gamboru,north_east,borno,ngala,Gamboru,storm,N/A,1465,by_gender_and_age_group,,,,,,,,,,,923,2079,2444,3135,1288,3711,6158,9869,115,320,32,7,215,55,70,19,85,120,25,27,2-Feb-14,23-Jun-14,no,,none stay here,,lack of safety,,north_east,borno,ngala,Gamboru,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,3__less_than_50_percent,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,2__blankets,3__mosquito_nets,5__kitchen_sets,,yes,,1__onsite_less_than_20,,yes,,1__operational_50_more,,3__piped_water_supply,,3__piped_water_supply,,3__less_than_15_liters,,unknown,,2__taste,,no,,1__good,,56,yes,,yes,,yes,,5__unknown,,0,no,,unknown,,yes,,no,,yes,,yes,yes_onsite,,yes,,6__irregular,,2__distribution,,no,,no,,yes,,2__diarrhea,6__fever,3__malaria,,yes,,yes,,1__on-site_less_than_3_km,,government,,yes,,2__offsite,,1__less_than_1_km,,2__less_than_25_percent,5__petty_trade,,no,,,no,,no,,yes,,unknown,,3__military,,4__armed_conflict,,,,3__forced_family_separations,,1__child_physical_abuse,,6__assistance_was_physically_ina,,3,2,yes,,yes,,no,no,no,2__good,,2__good,,not_adequate,,6__mobile_phone,,9__situation_in_areas_of_origin,,no,,,yes,yes,,1465
Nigeria,4/22/15 18:00,4/21/15 11:31,4/21/15 17:35,21-Apr-15,351612060609275,621300277460794,351612060609275,21-Mar-15,3,male,BO_S015,Govt Girls College,north_east,borno,Biu,Kenken,,,,,12.72612,10.24264,yes,,yes,,,,yes,,NRCS,government,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,no,,yes,,planned,collective settlement,,17-Jul-14,unknown,21-Apr-14,yes,0,public,government building,,north_east,borno,chibok,Kura,north_east,borno,chibok,Kautikari,storm,,109,by_both_gender_and_age_group,11,7,24,26,108,174,136,250,61,64,18,50,282,386,125,340,521,861,121,251,72,14,24,28,16,189,17,20,2,12,1-Feb-14,23-Aug-14,no,,place of origin,,lack of safety,,north_east,borno,chibok,Kura,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,3__less_than_50_percent,1__none,2__less_than_25_percent,1__none,2__blankets,3__mosquito_nets,11__bucket,,yes,,1__onsite_less_than_20,,yes,,1__operational_50_more,,2__handpumps,,3__piped_water_supply,,2__less_than_10_liters,,no answer,,5__none,,no,,not_so_good,,9,yes,,yes,,yes,,3__burning,,0,yes,,4__yes_no_soap_water,,yes,,yes,,yes,,yes,yes_onsite,,no answer,,6__irregular,,2__distribution,,yes,,yes,,no,,15__cough,3__malaria,4__malnutrition,,yes,,yes,,1__on-site_less_than_3_km,,government,,yes,,1__onsite,,1__less_than_1_km,,2__less_than_25_percent,3__farming,,yes,,8,no,,no,,yes,,yes,,3__military,,1__alcohol_drug_related_disturba,,,,3__forced_family_separations,,1__child_physical_abuse,,6__assistance_was_physically_ina,,3,2,yes,,yes,,no,no,no,2__good,,2__good,,not_adequate,,6__mobile_phone,,5__access_to_services,,no,,,yes,yes,,109
Nigeria,4/22/15 18:00,4/21/15 12:35,4/22/15 9:08,21-Apr-15,351612060609275,621300277460794,351612060609275,21-Mar-15,3,male,BO_S016,Federal Training C,north_east,borno,konduga,Wanori,,,,,13.22096,11.77788,yes,,yes,,,,yes,,N/A,government,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,no,,no,,spontaneous,collective settlement,,18-Mar-15,unknown,20-Apr-15,no_security,500,public,open lot,,north_east,borno,bama,Shehuri,north_east,borno,bama,Bulungo,storm,,891,by_gender_and_age_group,,,,,,,,,,,20,126,816,3782,3272,1078,6938,8016,79,23,54,14,412,27,68,114,832,314,284,25,18-Mar-15,21-Mar-15,yes,,nearest village,,lack of safety,,north_east,borno,jere,Maisandari,3__less_than_50_percent,2__less_than_25_percent,2__less_than_25_percent,2__less_than_25_percent,1__none,2__less_than_25_percent,1__none,2__less_than_25_percent,3__mosquito_nets,12__hygiene_kits,11__bucket,,yes,,1__onsite_less_than_20,,yes,,3__not_operational,,3__piped_water_supply,,3__piped_water_supply,,4__more_than_15_liters,,yes,,5__none,,no,,3__non_usable,,6,yes,,yes,,no,,3__burning,,4,yes,,none,,no answer,,yes,,no answer,,no,yes_onsite,,no,,6__irregular,,2__distribution,,yes,,no,,no,,15__cough,3__malaria,7__skin_disease,,no,,yes,,1__on-site_less_than_3_km,,government,,no,,no answer,,7__no_answer,,1__none,3__farming,,no,,,no,,no,,yes,,no,,6__political_leaders,,9__none,,,,7__none,,none,,not_enough_assistance_for_all,,0,0,no,,no,,yes,yes,yes,3__poor,,no answer,,3__no_lighting,,3__site_management,,6__safety_and_security,,no,,,yes,yes,,891
Nigeria,4/18/15 9:57,4/18/15 9:03,4/18/15 9:53,18-Apr-15,351612060614473,621300277322012,351612060614473,19-Mar-15,3,male,TR_S001,MUSLIM COUNCIL,north_east,taraba,jalingo,TURAKI  'B',,,,,11.39649,8.89576,yes,,no,,,,no,,,,,,,yes,,yes,,no,,yes,,yes,,yes,,yes,,yes,,no,,planned,collective settlement,,9-Jun-15,unknown,18-Apr-15,yes,500,private,community centre,,north_east,taraba,wukari,Hospital,north_east,taraba,wukari,AVYI,none,,194,by_both_gender_and_age_group,78,139,149,159,76,112,99,109,26,38,217,308,188,208,64,428,557,985,20,15,2,2,25,0,3,35,55,3,5,10,9-Jun-15,6-Mar-15,no,,other in the country,,lack of safety,,north_east,taraba,jalingo,Hospital,1__none,3__less_than_50_percent,6__unknown,4__less_than_75_percent,5__more_than_75_percent,5__more_than_75_percent,3__less_than_50_percent,3__less_than_50_percent,1__plastic_sheeting,5__kitchen_sets,12__hygiene_kits,,no,,3__offsite_less_than_20,,no,,2__operational_50_less,,10__water_truck,,10__water_truck,,2__less_than_10_liters,,yes,,2__taste,,unknown,,not_so_good,,4,yes,,no,,yes,,1__no_waste_disposal_system,,3,yes,,none,,no,,no,,yes,,yes,3__no,,yes,,6__irregular,,3__host_community_donation,,no,,no,,no,,3__malaria,2__diarrhea,15__cough,,no,,no,,3__off-site_less_than_3_km,,5__none,,no,,3__none,,1__less_than_1_km,,1__none,5__petty_trade,,yes,,30,no,,no,,no,,yes,,10__none,,3__friction_among_site_residents,,,,7__none,,none,,not_enough_assistance_for_all,,0,0,yes,,unknown,,no,no,no,2__good,,2__good,,not_adequate,,6__mobile_phone,,9__situation_in_areas_of_origin,,no,,,no,yes,,993
Nigeria,4/18/15 10:32,4/18/15 9:59,4/18/15 10:32,18-Apr-15,351612060614473,621300278055606,351612060614473,19-Mar-15,3,male,TR_S002,2nd BAPTIST CHURCH,north_east,taraba,jalingo,KONA,,,,,11.36554,8.95934,yes,,yes,,,,no,,,,,,,yes,,no,,no,,no,,no,,yes,,no,,no,,no,,spontaneous,collective settlement,,23-Feb-15,unknown,18-Apr-15,yes,200,private,community centre,,north_east,adamawa,michika,BAZA,north_east,adamawa,hong,Mukubi,none,,79,by_both_gender_and_age_group,21,50,110,50,53,27,20,40,16,8,71,160,80,60,24,220,175,395,6,15,0,0,17,0,5,0,0,0,0,0,23-Feb-14,17-Jun-14,no,,place of origin,,lack of safety,,north_east,adamawa,michika,BAZA,1__none,1__none,1__none,5__more_than_75_percent,2__less_than_25_percent,2__less_than_25_percent,1__none,1__none,1__plastic_sheeting,2__blankets,5__kitchen_sets,,no,,4__offsite_more_than_20,,no,,unknown,,7__unprotected_well,,7__unprotected_well,,2__less_than_10_liters,,yes,,3__suspended_solids,,no,,not_so_good,,3,no,,yes,,no,,1__no_waste_disposal_system,,2,yes,,none,,no,,no,,no,,no,3__no,,yes,,6__irregular,,2__distribution,,no,,no,,no,,3__malaria,2__diarrhea,15__cough,,no,,no,,4__off-site_more_than_3_km,,government,,no,,2__offsite,,3__less_than_5_km,,2__less_than_25_percent,5__petty_trade,,yes,,35,no,,no,,no,,no,,10__none,,9__none,,,,7__none,,none,,16__none,,0,0,yes,,no,,no,no,no,2__good,,2__good,,1__adequate,,6__mobile_phone,,6__safety_and_security,,no,,,no,yes,,79
Nigeria,4/18/15 11:02,4/18/15 10:33,4/18/15 11:01,18-Apr-15,351612060614473,621300278055606,351612060614473,19-Mar-15,3,male,TR_S003,MURTAI,north_east,taraba,jalingo,KONA,,,,,11.27547,9.03936,yes,,yes,,,,no,,,,,,,no,,no,,no,,no,,no,,yes,,yes,,no,,no,,spontaneous,transitional centre,,21-Feb-14,unknown,18-Apr-15,yes,300,ancestral,bunk houses,,north_east,borno,gwoza,HABATHDGA / JAJE,north_east,borno,gwoza,HABATHDGA,fire,,43,by_both_gender_and_age_group,10,10,18,28,23,30,25,44,10,18,21,45,53,68,28,85,130,215,6,30,0,0,5,8,5,6,3,0,0,3,21-Feb-14,12-Mar-15,no,,none stay here,,lack of safety,,north_east,taraba,jalingo,KONA,1__none,1__none,5__more_than_75_percent,2__less_than_25_percent,1__none,5__more_than_75_percent,5__more_than_75_percent,1__none,1__plastic_sheeting,5__kitchen_sets,11__bucket,,yes,,4__offsite_more_than_20,,no,,3__not_operational,,8__lake_dam,,8__lake_dam,,2__less_than_10_liters,,yes,,3__suspended_solids,,yes,,not_so_good,,20,no,,no,,no,,1__no_waste_disposal_system,,0,yes,,none,,no,,no,,yes,,no,3__no,,no,,7__never,,3__host_community_donation,,no,,no,,no,,3__malaria,2__diarrhea,15__cough,,no,,no,,5__none,,5__none,,no,,3__none,,6__unknown,,1__none,5__petty_trade,,yes,,33,no,,yes,,yes,,no,,5__community_leaders,,9__none,,,,7__none,,none,,not_enough_assistance_for_all,,0,0,no,,yes,,no,no,no,2__good,,2__good,,3__no_lighting,,5__radio_news,,6__safety_and_security,,no,,,no,yes,,43
Nigeria,4/17/15 23:03,3/26/15 14:30,4/17/15 3:27,26-Mar-15,355798051632743,621300277317043,355798051632743,25-Mar-15,3,male,TR_S004,Local Multipurpose Council Camp,north_east,taraba,bali,Bali A,7.855823913,10.96611889,220.0437574,8,10.965919,7.855819,yes,,yes,,,,yes,,SEMA,government,,,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,no,,no,,planned,collective settlement,,9-Mar-14,unknown,26-Mar-10,yes,100,public,government building,,north_east,taraba,bali,"Bali A,",north_east,taraba,bali,Maihula,none,Seriously need for Food and non food items,24,only_total,,,,,,,,,,,16,36,43,55,23,69,104,173,0,6,1,1,7,0,0,0,3,4,0,0,9-Mar-14,26-Mar-14,no,,place of origin,,house damaged,,north_east,taraba,bali,"Bali 'A.' ,Takalafiya and Maihula",2__less_than_25_percent,1__none,1__none,5__more_than_75_percent,1__none,2__less_than_25_percent,3__less_than_50_percent,4__less_than_75_percent,2__blankets,5__kitchen_sets,11__bucket,Buildings materials,yes,,3__offsite_less_than_20,,yes,,6__operational_100,,2__handpumps,,2__handpumps,,4__more_than_15_liters,,yes,,2__taste,,yes,,not_so_good,,0,no,There is no toilet completely,no,,no,,1__no_waste_disposal_system,,0,yes,,none,,no,,yes,,yes,,no,yes_onsite,,yes,,6__irregular,,3__host_community_donation,,yes,,no,,no,,4__malnutrition,3__malaria,6__fever,Cough,no,,yes,,3__off-site_less_than_3_km,,government,,no,,2__offsite,,1__less_than_1_km,,1__none,3__farming,,yes,,24,no,,no,,yes,,yes,,2__police,,5__theft,,,,7__none,,none,,not_enough_assistance_for_all,,0,0,no,,no,,no,no,no,2__good,,2__good,,3__no_lighting,,1__families_friends,,9__situation_in_areas_of_origin,,no,,,yes,yes,,24
Nigeria,4/18/15 8:58,4/18/15 7:45,4/18/15 8:58,18-Apr-15,359535057940761,621300278055606,359535057940761,26-Mar-15,3,male,TR_S005,LG QUATERS,north_east,taraba,gassol,MUTUN BIYU,,,,,10.4553,8.3749,yes,,yes,,,,no,,,,,,,yes,,yes,,no,,no,,no,,yes,,yes,,no,,no,,planned,collective settlement,,8-Jun-14,unknown,18-Apr-15,yes,300,public,government building,,north_east,taraba,wukari,AVYI,north_east,taraba,wukari,PUJE,none,,74,by_both_gender_and_age_group,30,30,54,83,70,90,74,132,29,55,61,137,160,205,85,257,391,648,21,31,2,2,31,0,5,10,3,2,2,0,8-Jun-14,6-Mar-15,no,,place of origin,,house damaged,,north_east,taraba,wukari,AVYI,2__less_than_25_percent,1__none,1__none,1__none,1__none,1__none,1__none,3__less_than_50_percent,2__blankets,5__kitchen_sets,11__bucket,,yes,,1__onsite_less_than_20,,no,,2__operational_50_less,,1__ponds_canals,,6__protected_well,,4__more_than_15_liters,,yes,,2__taste,,yes,,not_so_good,,2,yes,,no,,no,,1__no_waste_disposal_system,,0,yes,,none,,no,,no,,no,,no,yes_onsite,,no,,7__never,,1__cash,,no,,yes,,no,,3__malaria,15__cough,4__malnutrition,Fever,yes,,yes,,1__on-site_less_than_3_km,,5__none,,yes,,2__offsite,,1__less_than_1_km,,1__none,5__petty_trade,,yes,,10,no,,yes,,yes,,no,,3__military,,9__none,,,,7__none,,none,,not_enough_assistance_for_all,,0,0,no,,no,,no,no,no,2__good,,1__excellent,,3__no_lighting,,6__mobile_phone,,9__situation_in_areas_of_origin,,no,,,yes,yes,,74
Nigeria,4/17/15 1:18,3/26/15 19:37,4/1/15 8:41,26-Mar-15,351612060614804,621300277322012,351612060614804,17-Mar-15,3,male,TR_S006,Ebenezer primary school wukari,north_east,taraba,wukari,AVYI,7.874538599,9.767650844,226.3346171,4,9.768363,7.874262,yes,,no,,,,no,,,,,,,yes,,no,,no,,no,,yes,,yes,,no,,yes,,no,,spontaneous,collective settlement,,6-Mar-15,unknown,26-Sep-15,yes,2,public,school,,north_east,taraba,gassol,TELLA,north_east,taraba,gassol,,none,GOOD BUT NOT ADEQUATE,829,by_both_gender_and_age_group,39,39,69,106,90,116,95,168,38,71,77,175,205,264,108,329,500,829,19,63,5,0,71,15,17,12,22,51,6,15,6-Mar-15,6-Mar-15,yes,,place of origin,,house damaged,,north_east,taraba,gassol,TELLA,1__none,1__none,1__none,1__none,1__none,3__less_than_50_percent,1__none,1__none,1__plastic_sheeting,11__bucket,10__soap,,no,,4__offsite_more_than_20,,no,,1__operational_50_more,,10__water_truck,,10__water_truck,,2__less_than_10_liters,,yes,,2__taste,,yes,,not_so_good,,2,no,,no,,no,,2__garbage_pit,,2,no,,none,,no,,no,,no,,no,3__no,,yes,,7__never,,1__cash,,no,,no,,no,,2__diarrhea,6__fever,7__skin_disease,,no,,no,,3__off-site_less_than_3_km,,5__none,,no,,3__none,,1__less_than_1_km,,1__none,4__fishing,,no,,,no,,no,,no,,no,,10__none,,3__friction_among_site_residents,,,,7__none,,1__child_physical_abuse,,not_enough_assistance_for_all,,1,0,no,,no,,no,no,no,2__good,,1__excellent,,3__no_lighting,,5__radio_news,,6__safety_and_security,,no,,,no,yes,,74
Nigeria,4/17/15 1:32,3/26/15 21:06,4/1/15 8:44,26-Mar-15,351612060614804,621300277322012,351612060614804,16-Mar-15,3,male,TR_S007,IZALA MOSQUE WUKARI,north_east,taraba,wukari,HOSPITAL,7.865213443,9.777905567,194.146711,6,9.777907,7.865212,yes,,yes,,,,no,,,,,,,yes,,yes,,no,,no,,no,,yes,,yes,,no,,no,,spontaneous,collective settlement,,16-Feb-14,unknown,5-May-14,yes,1,private,other,MOSQUE,north_east,taraba,wukari,HOSPITAL,north_east,taraba,wukari,AVYI,none,GOOD BUT ADEQUATE,532,by_both_gender_and_age_group,29,34,75,61,90,70,54,32,42,45,63,136,160,86,87,290,242,532,29,31,4,0,21,16,8,83,19,22,9,5,15-May-14,15-Mar-15,yes,,place of origin,,house damaged,,north_east,taraba,wukari,AVYI,1__none,1__none,1__none,2__less_than_25_percent,1__none,5__more_than_75_percent,1__none,2__less_than_25_percent,12__hygiene_kits,2__blankets,10__soap,,no,,1__onsite_less_than_20,,yes,,1__operational_50_more,,6__protected_well,,6__protected_well,,2__less_than_10_liters,,yes,,2__taste,,yes,,not_so_good,,4,yes,,yes,,yes,,2__garbage_pit,,2,no,,none,,no,,no,,no,,no,3__no,,no,,7__never,,1__cash,,yes,,no,,no,,3__malaria,6__fever,2__diarrhea,,no,,yes,,3__off-site_less_than_3_km,,5__none,,no,,3__none,,1__less_than_1_km,,1__none,5__petty_trade,,no,,,no,,no,,yes,,no,,3__military,,9__unknown,,,,7__none,,1__child_physical_abuse,,6__assistance_was_physically_ina,,0,0,no,,yes,,no,no,no,2__good,,1__excellent,,not_adequate,,1__families_friends,,6__safety_and_security,,no,,,no,yes,,126
Nigeria,4/17/15 0:44,3/26/15 13:00,3/31/15 10:46,26-Mar-15,351612060614739,621300168112027,351612060614739,15-Feb-00,3,male,TR_S010,Tor damisa,north_east,taraba,donga,Akate,7.716857542,9.962514541,149.9095013,12,9.9621,7.7168,no,,,,,,no,,,,,,,yes,,yes,,no,,no,,no,,no,,yes,,no,,no,,spontaneous,camp,,1-Mar-00,unknown,26-Mar-15,yes,300,public,school,,north_east,taraba,donga,Kardarko,north_east,taraba,donga,Kadarko,none,None,245,by_gender_and_age_group,,,,,,,,,,,78,335,438,368,46,505,760,1265,19,46,0,0,46,0,0,3,4,0,24,0,1-Mar-00,26-Mar-15,yes,,place of origin,,house damaged,,north_east,taraba,donga,Kardako,3__less_than_50_percent,1__none,2__less_than_25_percent,2__less_than_25_percent,1__none,1__none,1__none,1__none,12__hygiene_kits,3__mosquito_nets,8__other,Cement and zinc,yes,,3__offsite_less_than_20,,no,,3__not_operational,,6__protected_well,,7__unprotected_well,,1__less_than_5_liters,,no,,1__odor_smell,,yes,,3__non_usable,,0,no,,no,,no,,1__no_waste_disposal_system,,0,no,Q0,none,,no,,no,,no,,no,3__no,,yes,,7__never,,3__host_community_donation,,no,,no,,no,,3__malaria,2__diarrhea,15__cough,None,no,,yes,,1__on-site_less_than_3_km,,government,,no,,1__onsite,,1__less_than_1_km,,1__none,3__farming,,no,,,no,,no,,yes,,no,,5__community_leaders,,9__none,,,,7__none,,none,,16__none,,0,0,no,,no,,no,no,no,2__good,,2__good,,3__no_lighting,,2__local_leader,,5__access_to_services,,no,,,no,yes,,245
Nigeria,4/17/15 1:28,3/26/15 20:23,4/1/15 1:00,26-Mar-15,351612060614804,621300277322012,351612060614804,18-Mar-15,3,male,TR_S008,KENTE PRIMARY SCHOOL,north_east,taraba,wukari,KENTE,7.898291296,9.484749055,171.1945819,4,9.484756,7.898261,yes,,yes,,,,no,,,,,,,yes,,yes,,no,,no,,yes,,yes,,no,,yes,,no,,spontaneous,collective settlement,,17-Feb-14,unknown,26-Mar-15,yes,2,public,school,,north_east,taraba,wukari,KENTE,north_east,taraba,wukari,SONDI,none,NOT ADEQUATE,898,by_both_gender_and_age_group,46,49,89,74,155,161,125,89,65,45,95,163,316,214,110,480,418,898,32,41,5,0,45,10,6,0,21,32,15,6,17-Mar-14,17-Mar-15,yes,,place of origin,,house damaged,,north_east,taraba,wukari,KENTE,2__less_than_25_percent,1__none,1__none,2__less_than_25_percent,1__none,5__more_than_75_percent,1__none,1__none,2__blankets,11__bucket,10__soap,,no,,3__offsite_less_than_20,,no,,1__operational_50_more,,6__protected_well,,6__protected_well,,2__less_than_10_liters,,no,,2__taste,,yes,,not_so_good,,2,no,,no,,no,,1__no_waste_disposal_system,,0,yes,,none,,no,,no,,no,,no,3__no,,yes,,7__never,,1__cash,,no,,no,,no,,2__diarrhea,3__malaria,6__fever,,no,,no,,3__off-site_less_than_3_km,,5__none,,yes,,1__onsite,,1__less_than_1_km,,5__more_than_75_percent,3__farming,,no,,,no,,no,,no,,no,,10__none,,9__none,,,,7__none,,1__child_physical_abuse,,6__assistance_was_physically_ina,,0,0,no,,no,,no,no,no,2__good,,1__excellent,,3__no_lighting,,2__local_leader,,6__safety_and_security,,no,,.,no,yes,,180
