country,round,site_id,site_name,site_region,site_province,site_district,,site_longitude,site_latitude,sma_exist,sma_type,regist_activity,support_wash,support_health,support_shelter,support_food,support_protect,support_edu,support_live,site_class,site_type,site_owner,site_shelter,n_family,n_infants_male,n_infants_female,n_child_male,n_child_female,n_youth_male,n_youth_female,n_adult_male,n_adult_female,n_elder_male,n_elder_female,n_total,n_pregnant,n_lactating,n_pwd,,n_elder,n_child_unacc,n_child_sep,n_orphan,n_hoh_female,n_hoh_male,n_hoh_child,,,,,,,,,pre_displaced,,,,,,per_hh_no_shelter,per_hh_tents,per_hh_makeshift,per_hh_indoors,per_hh_electricity,per_hh_safe_cooking,per_hh_private,per_hh_nets,nfi_a,nfi_b,nfi_c,water_location,water_operational,,water_source_np,water_source_p,water_avg,water_potable,water_remark,water_complaint,latrine_cond,n_latrine,latrine_gender,bathing_gender,latrine_lock,hyg_waste,n_garbage,garbage_problem,hyg_station,hyg_evidence,hyg_promotion,hyg_open_def,hyg_drainage,food_access,food_market,food_freq,food_source,health_screen,food_sup_lac,food_sup_child,,,,health_medicine,health_center,health_location,health_provider,edu_access,edu_location,edu_distance,per_sch,,n_hh_income,job_access,,,sec_provided,,sec_provider,sec_issue,sec_gbv,sec_phys_violence,sec_child_issue,,n_space_child,n_space_female,,,unsafe_female,unsafe_male,unsafe_child,,,site_lighting,job_abr,job_abr_in,job_abr_prom,,,,
Nigeria,7,BO_S010,BAKASI CAMP,BORNO,MAIDUGURI M. C.,MAISANDARI,FORMAL,11.79048,13.12085,SEMA,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,Government building,1308,63,109,311,468,1360,3981,1306,3018,27,17,10660,398,224,14,3,44,9,17,19,1,12,0,BORNO,MONGUNO,MOFIO,BORNO,NGANZAI,GAJIRAM,11/2/2015,11/13/2015,No,BORNO,MONGUNO,MOFIO,Place of origin,Accessibility,None,None,None,>75%,<25%,<50%,<25%,<75%,Blankets/Mats,Kitchen sets,Hygiene kits,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,>15 ltr,Yes,None,No,Good (Hygienic),303,No,No,No,No waste disposal system,50,Yes,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,Yes,No,Cough,Fever,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<25%,Petty trade,392,Yes,No,No,Yes,Yes,Police,Friction anmong site residents,Domestic violence,None,None,Not enough assistance for all entitled,0,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,,Families/Friends,Safety and Security,No,1491
Nigeria,7,BO_S011,"GOVT GIRLS SEC SCHOOL, YERWA ",BORNO,MAIDUGURI M. C.,MAISANDARI,FORMAL,11.8344,13.11887,NEMA,Government,No,No,No,Yes,No,No,No,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,School,668,4,5,127,223,1164,1336,990,1078,48,42,5017,204,114,7,3,90,0,6,3,0,0,0,BORNO,BAMA,KASUGULA,,,,12/9/2015,10/13/2015,No,BORNO,BAMA,KASUGULA,Place of origin,House damaged/destroyed,None,None,None,>75%,<25%,<25%,<50%,<75%,Blankets/Mats,Mosquito nets,Soap,On-site (<10 mn),>50 %,Yes,None,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),60,Yes,No,Yes,No waste disposal system,0,Yes,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,No,No,No,Fever,Cough,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Petty trade,430,Yes,Yes,No,Yes,Yes,Military,Friction anmong site residents,Domestic violence,None,Child separated from their care givers (or just child separation),Not enough assistance for all entitled,3,0,Yes,Yes,No,No,No,Good,Good,"Yes, there is lighting but it is NOT adequate",No,N/A,,Site Management,Distribution,Yes,1485
Nigeria,7,BO_S012,EYN CAMP,BORNO,MAIDUGURI M. C.,LAMISULA/JABBA MARI,FORMAL,11.83412,13.13577,SEMA,Government,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Spontaneous,Collective Settlement/Centre,Private Building,Tents,593,480,620,266,410,351,649,150,1520,4,0,4450,215,1132,2,3,4,28,165,20,54,36,18,BORNO,GWOZA,GAVVA / AGAPALWA,ADAMAWA,MADAGALI,SHELMI / SUKUR/ VAPURA,6/6/2014,2/11/2015,No,BORNO,MAIDUGURI M. C.,LAMISULA/JABBA MARI,Place of origin,House damaged/destroyed,<25%,<25%,>75%,<25%,<50%,<50%,None,>75%,Bucket/Jerry Can,Kitchen sets,Soap,On-site (<10 mn),<50 %,Yes,Piped water supply,Piped water supply,10 - 15 ltr,Yes,None,No,Not so good (Not hygienic),7,Yes,No,No,Garbage pit,0,No,Yes,Yes,Yes,Yes,Yes,"Yes, on site",No,Twice a week,Distribution,Yes,Yes,Yes,Malaria,Cough,Diarrhea,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<10 km,>75%,Daily labourer,0,No,No,No,No,No,None,Theft,None,None,Child separated from their care givers (or just child separation),Not enough assistance for all entitled,1,0,Yes,Yes,Yes,Yes,Yes,Good,Good,No lighting,No,N/A,,Radio/news,Distribution,Yes,1481
Nigeria,7,BO_S013,MOGCOLIS CAMP,BORNO,MAIDUGURI M. C.,MAFONI,FORMAL,11.84545,13.14872,SEMA,Government,No,No,Yes,Yes,Yes,No,No,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,School,328,81,96,137,312,297,352,397,560,108,87,2427,31,191,2,0,195,0,0,0,12,4,0,BORNO,ABADAM,AREGE,BORNO,MOBBAR,ASAGA,,,Yes,BORNO,ABADAM,AREGE,Place of origin,Lack of safety,None,<25%,<25%,>75%,<50%,<50%,None,>75%,Mosquito nets,Hygiene kits,Blankets/Mats,On-site (<10 mn),>50 %,No,Water truck,Water truck,>15 ltr,Yes,None,No,Not so good (Not hygienic),0,No,Yes,Yes,No answer,0,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Everyday,Distribution,Yes,No,No,Malaria,Cough,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Petty trade,0,Yes,No,No,Yes,Yes,Military,Friction anmong site residents,Unknown,Unknown,None,Fighting between recipients at distribution points,0,0,No,Yes,No,No,No,Good,Good,No lighting,No,N/A,,Mobile phone,Safety and Security,No,1466
Nigeria,7,BO_S014,TEACHERS VILLAGE ,BORNO,MAIDUGURI M. C.,BOLORI  I,FORMAL,11.83448,13.118767,NEMA/SEMA,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,Government building,1277,118,125,330,387,1438,2879,1153,1725,544,898,9597,227,469,0,0,1442,12,16,0,0,0,0,BORNO,KUKAWA,BAGA,BORNO,NGALA,NGALA WARD,9/9/2014,,Yes,BORNO,KUKAWA,BAGA,Place of origin,Lack of safety,<25%,None,<25%,>75%,<50%,<25%,None,>75%,Hygiene kits,Blankets/Mats,Kitchen sets,On-site (<10 mn),>50 %,Yes,Hand pumps,Piped water supply,10 - 15 ltr,Yes,None,No,Good (Hygienic),0,Yes,Yes,Yes,No answer,0,No,Yes,Yes,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,No,No,No,Malaria,Cough,Fever,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<1 km,<50%,Farming,0,Yes,No,No,Yes,No,Military,Alcohol/drug-related disturbance,Unknown,Unknown,None,Fighting between recipients at distribution points,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,,Radio/news,Safety and Security,No,1470
Nigeria,7,BO_S015,GGSS BIU,BORNO,BIU,KENKEN,INFORMAL,10.6165,12.1792,NRC,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,School,649,137,168,479,872,740,488,309,422,123,278,4016,62,463,6,9,401,263,103,64,33,59,32,BORNO,DAMBOA,DAMBOA,BORNO,HAWUL,KWAJAFFA/HANG,06/14/2014,11/11/2015,Yes,BORNO,DAMBOA,DAMBOA,Place of origin,Lack of safety,None,None,None,<75%,<25%,<25%,None,<50%,Kitchen sets,Bucket/Jerry Can,Hygiene kits,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,>15 ltr,Yes,Suspended solids,Yes,Not so good (Not hygienic),10,No,No,No,No waste disposal system,0,No,Yes,No,No,No,No,"Yes, on site",Yes,Irregular,Distribution,No,No,No,Malaria,Cough,Fever,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<1 km,<25%,Farming,207,Unknown,Yes,Unknown,Yes,Unknown,Local Authorities,None,None,None,None,Not enough assistance for all entitled,0,0,No,Yes,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,,Mobile phone,Other relief assistance,No,1490
Nigeria,7,BO_S016,FEDERAL TRAINING CENTRE CAMP,BORNO,KONDUGA,AUNO / CHABBOL,FORMAL,11.77871,13.2243,"NEMA,SEMA",Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,Tents,2439,305,609,611,1218,916,1828,3964,7927,304,612,18294,71,1208,11,8,916,4,34,2600,311,108,0,BORNO,BAMA,KASUGULA,BORNO,KONDUGA,KONDUGA,3/14/2015,10/30/2015,Yes,BORNO,BAMA,,Place of origin,House damaged/destroyed,<25%,<50%,<75%,<25%,<50%,>75%,>75%,>75%,Hygiene kits,Blankets/Mats,Other,On-site (<10 mn),>50 %,No,Water truck,Piped water supply,5 - 10 ltr,Yes,None,No,Good (Hygienic),213,Yes,Yes,Yes,Unknown,10,No,Yes,Yes,Yes,No,Yes,"Yes, on site",Yes,Once a week,Distribution,No,Unknown,No,Malaria,Fever,Malnutrition,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Petty trade,0,No,No,No,Yes,No,Military,Friction anmong site residents,Domestic violence,None,None,None,0,0,No,Yes,No,No,No,Good,Good,No lighting,No,N/A,,Authorities,Distribution,No,1476
Nigeria,7,BO_S017,400 HOUSING ESTATE GUBIO,BORNO,MAIDUGURI M. C.,BOLORI  I,FORMAL,11.90331,13.07874,"SEMA, NEMA",Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,Government building,1439,382,309,710,1025,1629,1903,2435,1257,205,935,10790,79,830,,0,1140,5,0,38,541,24,0,BORNO,NGALA,NGALA WARD,BORNO,KUKAWA,BAGA,10/5/2015,,No,BORNO,NGALA,NGALA WARD,Place of origin,Accessibility,>75%,<25%,None,>75%,<50%,None,None,>75%,Blankets/Mats,Soap,Hygiene kits,Off-site (>10 mn),>50 %,Yes,Piped water supply,Water truck,>15 ltr,Yes,None,No,Good (Hygienic),168,Yes,No,Yes,No answer,0,Yes,Yes,Yes,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,No,No,Malaria,Cough,Diarrhea,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<1 km,<50%,Fishing,110,Yes,No,No,Yes,No,Military,Friction anmong site residents,Domestic violence,None,None,Fighting between recipients at distribution points,0,0,No,Yes,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Radio/news,Safety and Security,No,1487
Nigeria,7,BO_S018,FARM CENTER,BORNO,JERE,DUSUMAN,INFORMAL,11.86314,13.21535,SEMA,Government,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Spontaneous,Collective Settlement/Centre,Public/Government,Government building,1294,115,155,824,661,1032,1409,1259,1963,105,150,7673,50,270,30,12,250,5,30,30,10,245,25,BORNO,MAFA,MA'AFA,BORNO,JERE,DUSUMAN,8/3/2015,10/11/2015,No,BORNO,MAFA,MA'AFA,Place of origin,Lack of safety,None,<25%,<50%,<25%,<25%,<25%,<25%,<25%,Blankets/Mats,Hygiene kits,Kitchen sets,On-site (<10 mn),Not operational,No,Hand pumps,Hand pumps,>15 ltr,Yes,None,Yes,Good (Hygienic),120,Yes,Yes,Yes,No waste disposal system,0,Yes,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Everyday,Distribution,No,No,No,Malaria,Fever,Diarrhea,Yes,Yes,On-site (<3 km),NGO,No,None,Unknown,None,Petty trade,321,No,No,Yes,Yes,Yes,Military,Alcohol/drug-related disturbance,None,None,None,Not enough assistance for all entitled,0,0,No,No,No,No,No,Good,Good,"Yes, there is lighting and it is adequate",No,N/A,,Local Leader,Safety and Security,No,1473
Nigeria,7,BO_S019,CAN CATHOLIC SECRETARIAT,BORNO,MAIDUGURI M. C.,MAISANDARI,INFORMAL,11.7891,13.1393,N/A,Religious entity,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,Community center,41,41,38,39,42,58,72,28,46,1,3,368,5,85,0,1,4,1,30,87,6,0,0,BORNO,GWOZA,PULKA/BOKKO,ADAMAWA,MADAGALI,GULAK,08/17/2014,3/9/2015,Yes,BORNO,GWOZA,PULKA/BOKKO,Place of origin,Lack of safety,<25%,None,None,>75%,None,<50%,None,<25%,Blankets/Mats,Mosquito nets,Kitchen sets,Off-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,>15 ltr,No,Suspended solids,Yes,Non usable,0,No,No,No,No waste disposal system,0,Yes,Yes but no soap/water inside,No,Yes,Yes,No,"Yes, off site",Yes,Once a week,Other,No,No,No,Malaria,Cough,Fever,Yes,Yes,Off-site (<3 km),Other,Yes,Off-site,<5 km,<25%,Daily labourer,38,No,No,Yes,Yes,No,Self organized,None,Unknown,None,None,Unknown,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,,Families/Friends,Situation in areas of origin,No,1474
Nigeria,7,BO_S020,GONI KACHALLARI PW,BORNO,JERE,MASHAMARI,INFORMAL,11.85794,13.2094,SEMA,Government,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Spontaneous,Camp,Public/Government,School,459,115,166,137,180,299,323,284,442,46,50,2042,63,297,3,5,96,2,12,5,80,45,10,BORNO,,,,,,Aug-15,,No,BORNO,MAFA,MAFA,Place of origin,Lack of safety,<25%,<75%,None,<75%,None,<25%,None,<50%,Blankets/Mats,Hygiene kits,Bucket/Jerry Can,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,>15 ltr,Yes,None,No,Not so good (Not hygienic),37,Yes,Yes,No,Garbage pit,1,Unknown,Yes,Yes,Yes,Yes,No,"Yes, on site",Yes,Everyday,Distribution,Yes,No,No,Diarrhea,Fever,Malaria,Yes,Yes,On-site (<3 km),Government,No,None,No answer,None,Petty trade,110,Yes,No,No,Yes,Yes,Military,Friction anmong site residents,None,None,None,Fighting between recipients at distribution points,0,0,Yes,Yes,No,No,No,Good,Good,No lighting,No,N/A,,Local Leader,Safety and Security,No,1477
Nigeria,7,BO_S021,250 HOUSING ESTATE,BORNO,KONDUGA,DALORI / WANORI,FORMAL,11.76886,13.23828,RED CROSS,Government,Yes,Yes,Yes,No,No,Yes,No,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,Government building,537,16,22,75,117,565,848,1068,1192,35,87,4025,112,76,0,0,122,0,0,0,33,9,0,BORNO,KONDUGA,KAWURI,BORNO,BAMA,,1/8/2014,3/14/2014,No,BORNO,KONDUGA,KAWURI,Place of origin,Lack of food,<25%,None,None,>75%,<50%,<25%,None,<75%,Kitchen sets,Blankets/Mats,Hygiene kits,On-site (<10 mn),<50 %,No,Water truck,Water truck,>15 ltr,Yes,None,No,Not so good (Not hygienic),0,No,Yes,Yes,Burning,0,Yes,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Everyday,Distribution,No,Unknown,Unknown,Malaria,Cough,Fever,Yes,Yes,On-site (<3 km),NGO,No,Unknown,<1 km,Unknown,Petty trade,0,No,No,Yes,Yes,Yes,Military,Friction anmong site residents,Unknown,Unknown,None,Fighting between recipients at distribution points,0,0,No,Yes,No,No,No,Good,Unknown,No lighting,Yes,Nigeria,Better living conditions,Radio/news,Safety and Security,No,1479
Nigeria,7,BO_S023,GOVT SCIENCE SCHOOL ,BORNO,ASKIRA / UBA,UBA,INFORMAL,10.48416,13.23685,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,School,338,34,52,205,206,338,455,175,539,104,208,2316,52,186,22,1,32,0,0,39,71,0,0,BORNO,ASKIRA / UBA,MUSSA,BORNO,ASKIRA / UBA,DILLE / HUYUM,3/6/2015,07/25/2015,Yes,BORNO,ASKIRA / UBA,UBA,Place of origin,Lack of safety,None,None,None,>75%,None,None,None,<25%,Blankets/Mats,Mosquito nets,Kitchen sets,On-site (<10 mn),>50 %,Yes,Water truck,Water truck,Unknown,Yes,None,No,Not so good (Not hygienic),6,No,No,Yes,Burning,0,No,Yes but no soap/water inside,Yes,No,Yes,No,"Yes, on site",Yes,Irregular,Host community donation,No,No,No,Malaria,Fever,Cough,Yes,No,None,NGO,No,None,Unknown,Unknown,Farming,0,No,No,Yes,Yes,No,Military,None,Unknown,None,Child separated from their care givers (or just child separation),Unknown,0,0,No,Yes,No,No,No,Good,Good,No lighting,No,N/A,,Local Leader,Situation in areas of origin,No,1484
Nigeria,7,BO_S024,GARBA BUZU QRT,BORNO,MAIDUGURI M. C.,BOLORI  I,INFORMAL,11.85083,13.11156,,,No,No,No,Yes,No,No,No,No,Spontaneous,Collective Settlement/Centre,Private Building,Individual house,65,6,12,23,34,79,55,109,114,35,16,483,27,22,2,0,51,0,0,0,23,9,0,BORNO,MAFA,LOSKURI,BORNO,KUKAWA,BAGA,2/20/2013,11/14/2015,No,BORNO,MAFA,LOSKURI,Place of origin,Lack of safety,None,None,<25%,<75%,None,<25%,None,>75%,Kitchen sets,Hygiene kits,Soap,On-site (<10 mn),>50 %,Yes,Hand pumps,Hand pumps,>15 ltr,Yes,None,No,Not so good (Not hygienic),50,No,Yes,Yes,Garbage pit,1,Yes,Yes but no soap/water inside,Yes,Yes,No,Yes,"Yes, off site",Yes,Irregular,Host community donation,Yes,Unknown,Unknown,Malaria,Fever,Skin disease,Yes,Yes,Off-site (>3 km),Government,Yes,Off-site,<1 km,<50%,Petty trade,0,No,Yes,No,No,Yes,None,None,Unknown,Unknown,None,Fighting between recipients at distribution points,0,0,Yes,Yes,No,No,No,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Radio/news,Situation in areas of origin,No,1467
Nigeria,7,BO_S025,SABONGARI BUZU CAMP,BORNO,MAIDUGURI M. C.,BOLORI  I,INFORMAL,13.10888,11.84758,,,No,Yes,No,No,No,No,Yes,No,Spontaneous,Collective Settlement/Centre,Private Building,Individual house,14,2,3,3,6,12,6,22,42,5,2,103,0,9,0,0,7,1,10,0,5,7,0,BORNO,MAFA,LAJE,BORNO,KONDUGA,MAIRAMRI / YELERI / BAZAMRI,07/19/2014,,No,BORNO,MAFA,LOSKURI,Place of origin,Lack of safety,<25%,None,<50%,<75%,None,<50%,None,<50%,Mosquito nets,Hygiene kits,Bucket/Jerry Can,Off-site (<10 mn),<50 %,No,Hand pumps,Hand pumps,Unknown,Yes,None,No,Not so good (Not hygienic),2,Yes,No,Yes,No waste disposal system,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, off site",Yes,Irregular,Host community donation,Yes,No,No,Malaria,Fever,Cough,Yes,Yes,Off-site (>3 km),None,No,None,Unknown,None,Petty trade,0,Yes,Yes,No,Yes,No,Self organized,Friction anmong site residents,Unknown,Unknown,None,Fighting between recipients at distribution points,0,0,Yes,Yes,Yes,Yes,Yes,Good,Good,No lighting,Yes,Nigeria,Better living conditions,Radio/news,Situation in areas of origin,No,1480
Nigeria,7,FC_S001,CAC DOBI,FCT,GWAGWALADA, DOBI,INFORMAL,9.06381,7.00136,,,No,No,No,No,No,No,No,No,Spontaneous,Collective Settlement/Centre,Private Building,Self-made tents,7,2,3,5,7,8,6,7,7,0,0,45,2,8,0,0,0,0,0,0,0,0,0,BORNO,GWOZA,NGOSHE,,,,10/10/2015,6/9/2015,No,BORNO,GWOZA,NGOSHE,Place of origin,Basic infrastructures damaged/flooded,None,None,None,>75%,None,None,None,>75%,Blankets/Mats,Soap,Blankets/Mats,On-site (<10 mn),<50 %,No,Unprotected well,Unprotected well,>15 ltr,No,Suspended solids,Yes,Not so good (Not hygienic),0,No,No,No,No waste disposal system,0,Yes,Yes but no soap/water inside,No,No,No,No,"Yes, off site",No,Irregular,Host community donation,No,No,No,Fever,Cough,Skin disease,Unknown,Yes,Off-site (>3 km),None,No,Off-site,<5 km,None,Farming,0,No,No,No,Yes,Yes,Community Leaders,None,None,None,None,Not enough assistance for all entitled,0,0,No,Yes,No,No,No,Good,Good,No lighting,No,N/A,,Mobile phone,Safety and Security,No,1435
Nigeria,7,FC_S002,KUCHINGORO IDP SITE,FCT,MUNICIPAL, GARKI,INFORMAL,9.0081,7.43771,,,No,No,No,No,No,No,No,No,Spontaneous,Camp,Public/Government,Self-made tents,202,16,8,32,41,128,211,162,333,2,3,936,18,34,0,0,5,0,0,38,5,87,0,BORNO,GWOZA,NGOSHE,,,,4/11/2015,09/15/2015,No,BORNO,GWOZA,NGOSHE,Place of origin,Lack of safety,<75%,<50%,<50%,None,<50%,None,None,>75%,Hygiene kits,Soap,Mosquito nets,On-site (<10 mn),>50 %,Yes,Piped water supply,Piped water supply,Unknown,No,None,Yes,Good (Hygienic),8,Yes,Yes,Yes,No waste disposal system,0,Yes,Yes but no soap/water inside,No,No,No,No,"Yes, off site",No,Irregular,Cash,No,No,No,Malaria,Cough,Diarrhea,Yes,Yes,Off-site (>3 km),NGO,Yes,On-site,>10 km,<25%,Daily labourer,0,No,No,Yes,No,No,None,Friction anmong site residents,None,None,None,None,0,0,No,No,Yes,Yes,Yes,Poor,Poor,No lighting,No,N/A,,Local Leader,Safety and Security,No,1437
Nigeria,7,FC_S005,WASA ,FCT,MUNICIPAL, KARSHI,INFORMAL,8.87622,7.482,,,No,Yes,Yes,Yes,Yes,No,No,No,Spontaneous,Collective Settlement/Centre,Public/Government,School,748,19,8,221,319,312,420,1029,2242,13,19,4602,6,270,0,0,32,0,0,0,0,0,0,BORNO,GWOZA,BITA / IZGE,ADAMAWA,MICHIKA,BAZZA MARGI,2/12/2014,6/9/2015,No,BORNO,GWOZA,NGOSHE,Place of origin,Lack of safety,None,None,None,>75%,None,None,None,>75%,Blankets/Mats,Soap,Blankets/Mats,On-site (<10 mn),<50 %,No,Piped water supply,Piped water supply,Unknown,Yes,None,No,Not so good (Not hygienic),2,Yes,Yes,No,No waste disposal system,0,Yes,Yes but no soap/water inside,No,No,No,No,"Yes, on site",No,Irregular,Host community donation,Yes,No,No,Diarrhea,Malaria,Cough,No,Yes,Off-site (<3 km),Government,No,Off-site,<2 km,<25%,Daily labourer,0,No,No,Unknown,Yes,Yes,Community Leaders,Theft,None,None,None,None,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,,Mobile phone,Safety and Security,No,1444
Nigeria,7,FC_S007,DURUMI IDP SITE,FCT,MUNICIPAL, GARKI,INFORMAL,9.01752,7.46188,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Camp,Public/Government,Self-made tents,215,60,32,100,50,120,322,350,477,12,16,1539,50,108,0,0,28,0,50,50,100,300,0,BORNO,GWOZA,BITA / IZGE,,,,02/15/2014,10/3/2015,No,BORNO,GWOZA,BITA / IZGE,Place of origin,Lack of safety,>75%,<25%,<25%,None,<50%,None,None,<25%,Blankets/Mats,Kitchen sets,Soap,On-site (<10 mn),<50 %,No,Piped water supply,Piped water supply,<5 ltr,Yes,None,No,Good (Hygienic),6,No,No,Yes,Unknown,0,No,Yes but no soap/water inside,No,No,Yes,No,"Yes, on site",Yes,Irregular,Cash,No,No,No,Malaria,Skin disease,Malnutrition,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<2 km,<75%,Daily labourer,8,Yes,Yes,Yes,Yes,Yes,Police,Friction anmong site residents,None,None,None,Not enough assistance for all entitled,0,0,No,No,No,No,No,Excellent,Good,No lighting,No,N/A,,Local Leader,Situation in areas of origin,No,1439
Nigeria,7,KD_S001,TAFA CAMP(IDDAH),KADUNA,KAGARKO,IDDAH,INFORMAL,9.33587,7.26824,,,No,No,No,Yes,Yes,Yes,Yes,Yes,Spontaneous,Camp,Private Building,Host family house,101,15,13,41,20,60,77,119,143,45,47,580,44,38,0,0,92,0,1,2,3,1,2,PLATEAU,SHENDAM,,BORNO,DIKWA,,4/4/2013,02/26/2014,No,KADUNA,KAGARKO,KAGARKO SOUTH,Place of origin,Lack of safety,None,<25%,<25%,>75%,<25%,<25%,<25%,<25%,Blankets/Mats,Hygiene kits,Bucket/Jerry Can,Off-site (<10 mn),Not operational,No,Surface water,Surface water,<5 ltr,No,Taste,Yes,Non usable,0,No,No,No,No waste disposal system,0,No,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Irregular,Host community donation,No,No,No,Malaria,Malnutrition,Skin disease,No,No,None,NGO,No,Off-site,<1 km,<25%,Pastoralism,12,No,No,Yes,Yes,No,Self organized,None,None,None,None,Not enough assistance for all entitled,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,,Radio/news,Other relief assistance,No,1453
Nigeria,7,KD_S002,UNGWAN RIMI CAMP,KADUNA,KAGARKO,JERE NORTH,INFORMAL,9.57776,7.42735,,,No,No,No,Yes,Yes,Yes,Yes,Yes,Spontaneous,Camp,Public/Government,Self-made tents,36,8,7,40,36,48,51,61,65,2,3,321,16,25,1,2,5,0,0,0,2,1,0,KADUNA,ZANGON KATAF,,BORNO,BAMA,,4/20/2011,,No,KADUNA,ZANGON KATAF,,Place of origin,House damaged/destroyed,<25%,<50%,<50%,<25%,<25%,<25%,<25%,<25%,Blankets/Mats,Mosquito nets,Blankets/Mats,Off-site (<10 mn),<50 %,No,Surface water,Surface water,5 - 10 ltr,No,Odor/smell,Yes,Not so good (Not hygienic),0,No,No,No,No waste disposal system,0,No,Yes but no soap/water inside,No,No,No,No,"Yes, off site",No,Never,Cultivated,No,No,No,Malaria,Fever,Cough,No,Yes,Off-site (<3 km),None,No,None,<1 km,<25%,Petty trade,6,Yes,No,No,Yes,Yes,Self organized,None,None,None,None,Not enough assistance for all entitled,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,,Mobile phone,Situation in areas of origin,No,1456
Nigeria,7,KD_S003,"SECONDARY SCHOOL,  JERE CAMP",KADUNA,KAGARKO,JERE SOUTH,INFORMAL,9.563317,7.429917,,,No,No,No,No,Yes,No,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,Government building,47,11,19,30,31,19,27,113,150,1,2,403,21,30,0,0,3,4,1,1,3,1,1,BORNO,GWOZA,,KADUNA,JABA,FADA,,,No,KADUNA,JABA,,Place of origin,House damaged/destroyed,<50%,None,None,<75%,None,None,<25%,None,Blankets/Mats,Kitchen sets,Bucket/Jerry Can,Off-site (<10 mn),Not operational,Unknown,Surface water,Surface water,5 - 10 ltr,Yes,Taste,Yes,Unknown,0,Yes,No,No,No waste disposal system,0,No,Yes but no soap/water inside,No,No,No,No,"Yes, on site",Yes,Everyday,Host community donation,No,No,No,Diarrhea,Malaria,Skin disease,No,No,None,None,Yes,On-site,<1 km,<25%,Pastoralism,4,No,No,Yes,No,No,None,None,None,None,None,Not enough assistance for all entitled,0,0,No,No,No,No,No,Good,Good,No lighting,No,N/A,,Radio/news,Other relief assistance,No,1460
